total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
4968,2483,0.22141706924315618,GSM8880855,OpticNerve,Sham
4435,2275,1.3754227733934612,GSM8880855,OpticNerve,Sham
5337,2566,0.07494847292486416,GSM8880855,OpticNerve,Sham
2864,1577,0.27932960893854747,GSM8880855,OpticNerve,Sham
17944,5084,0.57958091841284,GSM8880855,OpticNerve,Sham
3821,2006,0.3925673907354096,GSM8880855,OpticNerve,Sham
5236,2472,0.4583651642475172,GSM8880855,OpticNerve,Sham
5110,2490,0.4892367906066536,GSM8880855,OpticNerve,Sham
5389,2607,0.5010205975134533,GSM8880855,OpticNerve,Sham
4266,2234,0.21097046413502107,GSM8880855,OpticNerve,Sham
1854,1179,0.37756202804746497,GSM8880855,OpticNerve,Sham
2829,1594,1.4492753623188406,GSM8880855,OpticNerve,Sham
4588,2211,1.0026155187445511,GSM8880855,OpticNerve,Sham
1617,1083,2.906617192331478,GSM8880855,OpticNerve,Sham
811,626,0.7398273736128237,GSM8880855,OpticNerve,Sham
4532,2328,0.33097969991173876,GSM8880855,OpticNerve,Sham
4421,2232,1.289301063107894,GSM8880855,OpticNerve,Sham
5916,2582,0.1352265043948614,GSM8880855,OpticNerve,Sham
3862,2005,1.1393060590367685,GSM8880855,OpticNerve,Sham
3802,2046,1.0257759074171489,GSM8880855,OpticNerve,Sham
5201,2589,0.6537204383772351,GSM8880855,OpticNerve,Sham
4157,2102,0.5051719990377677,GSM8880855,OpticNerve,Sham
4522,2290,0.7739938080495357,GSM8880855,OpticNerve,Sham
3621,1888,0.33140016570008285,GSM8880855,OpticNerve,Sham
4344,2028,0.9668508287292817,GSM8880855,OpticNerve,Sham
2775,1621,1.1891891891891893,GSM8880855,OpticNerve,Sham
19366,5279,1.02757409893628,GSM8880855,OpticNerve,Sham
2220,1335,1.7117117117117115,GSM8880855,OpticNerve,Sham
1755,1086,1.3675213675213675,GSM8880855,OpticNerve,Sham
1468,1000,1.5667574931880108,GSM8880855,OpticNerve,Sham
4702,2279,1.0633772862611655,GSM8880855,OpticNerve,Sham
5394,2508,0.18539117538005193,GSM8880855,OpticNerve,Sham
3960,2020,0.4797979797979798,GSM8880855,OpticNerve,Sham
10836,4008,0.7382798080472499,GSM8880855,OpticNerve,Sham
5685,2534,0.8970976253298154,GSM8880855,OpticNerve,Sham
5534,2670,0.21684134441633537,GSM8880855,OpticNerve,Sham
4087,2090,0.5382921458282359,GSM8880855,OpticNerve,Sham
6207,2783,1.1438698243918157,GSM8880855,OpticNerve,Sham
1824,1182,0.0,GSM8880855,OpticNerve,Sham
6216,2703,0.6595881595881596,GSM8880855,OpticNerve,Sham
3763,1950,0.7175126229072548,GSM8880855,OpticNerve,Sham
5481,2470,0.7297938332421091,GSM8880855,OpticNerve,Sham
4430,2114,1.1512415349887133,GSM8880855,OpticNerve,Sham
6561,2845,0.6249047401310776,GSM8880855,OpticNerve,Sham
5981,2685,0.1337568968399933,GSM8880855,OpticNerve,Sham
6749,3018,0.7408504963698326,GSM8880855,OpticNerve,Sham
6314,2855,0.31675641431738993,GSM8880855,OpticNerve,Sham
6836,2864,0.8191925102399065,GSM8880855,OpticNerve,Sham
4500,2343,0.5777777777777777,GSM8880855,OpticNerve,Sham
5444,2548,0.5510653930933138,GSM8880855,OpticNerve,Sham
6848,2879,1.0660046728971961,GSM8880855,OpticNerve,Sham
4999,2303,1.5603120624124824,GSM8880855,OpticNerve,Sham
2802,1608,0.03568879371877231,GSM8880855,OpticNerve,Sham
6008,2718,0.3328894806924101,GSM8880855,OpticNerve,Sham
4785,2324,0.25078369905956116,GSM8880855,OpticNerve,Sham
1400,990,2.2857142857142856,GSM8880855,OpticNerve,Sham
3414,1869,0.49794961921499703,GSM8880855,OpticNerve,Sham
13214,4351,0.908127743302558,GSM8880855,OpticNerve,Sham
15340,4879,0.8018252933507171,GSM8880855,OpticNerve,Sham
1711,1066,0.29222676797194624,GSM8880855,OpticNerve,Sham
6150,2674,0.7154471544715447,GSM8880855,OpticNerve,Sham
5815,2734,0.2579535683576956,GSM8880855,OpticNerve,Sham
5384,2559,0.2786032689450223,GSM8880855,OpticNerve,Sham
5855,2729,0.06831767719897523,GSM8880855,OpticNerve,Sham
1970,1242,1.3705583756345179,GSM8880855,OpticNerve,Sham
5025,2493,0.3781094527363184,GSM8880855,OpticNerve,Sham
6734,2864,0.4009504009504009,GSM8880855,OpticNerve,Sham
2674,1575,0.7853403141361256,GSM8880855,OpticNerve,Sham
3849,2108,0.753442452585087,GSM8880855,OpticNerve,Sham
28349,6413,0.4091855091890366,GSM8880855,OpticNerve,Sham
1988,1057,2.062374245472837,GSM8880855,OpticNerve,Sham
3658,1885,0.8201202843083653,GSM8880855,OpticNerve,Sham
4560,2221,0.855263157894737,GSM8880855,OpticNerve,Sham
3547,1956,2.086270087397801,GSM8880855,OpticNerve,Sham
4256,2182,0.9868421052631579,GSM8880855,OpticNerve,Sham
4336,2151,0.29981549815498154,GSM8880855,OpticNerve,Sham
1095,800,0.547945205479452,GSM8880855,OpticNerve,Sham
5223,2388,0.5935286233965155,GSM8880855,OpticNerve,Sham
4759,2351,0.02101281781886951,GSM8880855,OpticNerve,Sham
2938,1707,0.3403675970047651,GSM8880855,OpticNerve,Sham
1545,996,0.1941747572815534,GSM8880855,OpticNerve,Sham
4549,2235,0.3077599472411519,GSM8880855,OpticNerve,Sham
6633,2777,0.9196442032262928,GSM8880855,OpticNerve,Sham
3989,2032,0.2757583354224116,GSM8880855,OpticNerve,Sham
3699,1991,0.21627466882941337,GSM8880855,OpticNerve,Sham
4204,2118,0.04757373929590866,GSM8880855,OpticNerve,Sham
3967,1955,0.6806150743634989,GSM8880855,OpticNerve,Sham
4558,2182,0.7459412022817025,GSM8880855,OpticNerve,Sham
4375,2196,0.5714285714285714,GSM8880855,OpticNerve,Sham
3140,1851,2.2929936305732483,GSM8880855,OpticNerve,Sham
9286,3532,0.5707516691794099,GSM8880855,OpticNerve,Sham
5632,2480,0.5859375,GSM8880855,OpticNerve,Sham
7222,3052,0.48463029631680976,GSM8880855,OpticNerve,Sham
4629,2218,0.28083819399438326,GSM8880855,OpticNerve,Sham
4619,2294,0.6278415241394242,GSM8880855,OpticNerve,Sham
3187,1826,0.2823972387825541,GSM8880855,OpticNerve,Sham
3635,1903,0.3301237964236589,GSM8880855,OpticNerve,Sham
2484,1468,0.5233494363929146,GSM8880855,OpticNerve,Sham
5554,2596,1.4404033129276197,GSM8880855,OpticNerve,Sham
4419,2301,0.24892509617560535,GSM8880855,OpticNerve,Sham
3261,1782,0.1533272002453235,GSM8880855,OpticNerve,Sham
4476,2362,0.8266309204647005,GSM8880855,OpticNerve,Sham
4568,2299,0.39404553415061294,GSM8880855,OpticNerve,Sham
836,574,0.0,GSM8880855,OpticNerve,Sham
1055,795,2.654028436018957,GSM8880855,OpticNerve,Sham
3137,1780,1.3069811922218681,GSM8880855,OpticNerve,Sham
2926,1670,0.5126452494873548,GSM8880855,OpticNerve,Sham
7046,2986,0.8231620777746239,GSM8880855,OpticNerve,Sham
3860,2117,0.38860103626943004,GSM8880855,OpticNerve,Sham
5148,2392,0.1554001554001554,GSM8880855,OpticNerve,Sham
5765,2850,0.08673026886383348,GSM8880855,OpticNerve,Sham
3127,1772,0.09593859929645027,GSM8880855,OpticNerve,Sham
1668,1070,2.4580335731414866,GSM8880855,OpticNerve,Sham
2388,1407,1.2981574539363483,GSM8880855,OpticNerve,Sham
5907,2553,0.8464533604198408,GSM8880855,OpticNerve,Sham
4721,2445,0.5719127303537386,GSM8880855,OpticNerve,Sham
3080,1671,1.396103896103896,GSM8880855,OpticNerve,Sham
4185,2153,0.43010752688172044,GSM8880855,OpticNerve,Sham
3917,2097,0.3574163900944601,GSM8880855,OpticNerve,Sham
4912,2313,0.18322475570032573,GSM8880855,OpticNerve,Sham
4060,2134,0.6403940886699507,GSM8880855,OpticNerve,Sham
2503,1423,0.7590890930882941,GSM8880855,OpticNerve,Sham
4684,2298,0.7899231426131512,GSM8880855,OpticNerve,Sham
2250,1328,0.4888888888888889,GSM8880855,OpticNerve,Sham
3840,1919,1.1979166666666667,GSM8880855,OpticNerve,Sham
4296,2228,0.27932960893854747,GSM8880855,OpticNerve,Sham
7080,3104,0.692090395480226,GSM8880855,OpticNerve,Sham
8107,3319,0.45639570741334645,GSM8880855,OpticNerve,Sham
4011,2076,0.24931438544003987,GSM8880855,OpticNerve,Sham
7341,3145,1.0625255414793624,GSM8880855,OpticNerve,Sham
7999,3256,0.18752344043005376,GSM8880855,OpticNerve,Sham
4836,2299,0.4342431761786601,GSM8880855,OpticNerve,Sham
10513,4008,0.4851136687910206,GSM8880855,OpticNerve,Sham
5147,2515,1.9040217602486884,GSM8880855,OpticNerve,Sham
2628,1558,0.1141552511415525,GSM8880855,OpticNerve,Sham
4930,2394,0.5476673427991886,GSM8880855,OpticNerve,Sham
3682,1985,0.5160239000543183,GSM8880855,OpticNerve,Sham
4538,2097,0.6610841780520054,GSM8880855,OpticNerve,Sham
4454,2298,0.9654243376740009,GSM8880855,OpticNerve,Sham
4961,2382,0.5240878855069542,GSM8880855,OpticNerve,Sham
12232,4162,0.28613472858077177,GSM8880855,OpticNerve,Sham
7404,3087,0.5402485143165856,GSM8880855,OpticNerve,Sham
2518,1554,0.23828435266084197,GSM8880855,OpticNerve,Sham
1839,1163,0.7069059271343121,GSM8880855,OpticNerve,Sham
9650,3463,0.5803108808290156,GSM8880855,OpticNerve,Sham
