tissue,celltype,prop_MB,prop_Sham,log2FC,pvalue,padj
Retina,Homeostatic MG,0.2991673065330284,0.8821333208812387,-1.5597255701229744,0.019249677221721447,0.26949548110410027
Retina,MHCII+ MG,0.11277517872221883,0.020579112538441018,2.4484820943965087,0.20659238153462425,0.4131847630692485
Retina,Activated MG (Ccl5+),0.09106961537477955,0.010327035510283722,3.128224042772837,0.3345541089023108,0.4683757524632351
Retina,DAM-like MG,0.166918604739266,0.014476218786177868,3.518320393992324,0.14213047189843062,0.33163776776300474
Retina,Iron+ MG (Fth1+),0.01622038488383948,0.004726602825036016,1.757595061553169,0.34839798552464973,0.4434156179404633
Retina,Proliferating MG,0.008536376601712116,0.01325517907031637,-0.6289012595462059,0.227157320869639,0.39752531152186826
Retina,BAM,0.050362523136781724,0.030702521772409116,0.7121638753825388,0.42181698593317524,0.4542644463895733
Retina,MHCII+ Mac/APC,0.053883610292848626,0.0004796538229344791,6.5411860932305785,0.1355236816588403,0.474332885805941
Retina,pDC,0.015562664071377621,0.0,7.291185812089494,0.3174773671726536,0.49385368226857235
Retina,T cell,0.06451131985409368,0.004462536024192513,3.8238790910829135,0.13563435695640422,0.3797761994779318
Retina,gdT cell,0.01146913966867801,0.0,6.854137773158679,0.0677668258626894,0.3162451873592172
Retina,NK cell,0.039020632338722244,0.002278366902150412,4.039886493170907,0.027069862216096433,0.18948903551267504
Retina,B cell,0.004948223533981015,0.011335353737646343,-1.1796532953197443,0.48625424849352206,0.48625424849352206
Retina,Neutrophil,0.06555442024867268,0.005244098129173409,3.618873741094329,0.3954969372467997,0.46141309345459963
OpticNerve,Homeostatic MG,0.7761359611432619,0.8607436333269,-0.14925593394562808,0.10962340825143962,0.35627607681717877
OpticNerve,MHCII+ MG,0.03513744923319392,0.017718538397764032,0.9837304926106355,0.09820308177899899,0.42554668770899556
OpticNerve,Activated MG (Ccl5+),0.0,0.00030519728585962953,-2.0186245105409095,0.22660286408415814,0.4909728721823426
OpticNerve,DAM-like MG,0.12334757537615276,0.0486612930851996,1.3400902109539996,0.023977951870287405,0.15585668715686812
OpticNerve,Iron+ MG (Fth1+),0.018576119603445424,0.016593329536174577,0.16192299947719593,0.8891547781596685,0.8891547781596685
OpticNerve,Proliferating MG,0.011980520522447932,0.01083661561688168,0.1435162595267859,0.7813789684500808,0.923447871804641
OpticNerve,BAM,0.012944510410092388,0.02653550803235698,-1.0299080008335686,0.4348961723493141,0.7067062800676354
OpticNerve,MHCII+ Mac/APC,0.0034866559219917585,0.004698806215184964,-0.42003620535937664,0.8165908189915618,0.8846400539075253
OpticNerve,T cell,0.008292223660392206,0.009641682262962687,-0.21511780109708772,0.7382511434034225,0.9597264864244492
OpticNerve,gdT cell,0.00045813439639054996,0.00010094891984655764,1.4737837361699337,0.3375572005079934,0.6268919438005592
OpticNerve,NK cell,0.007452647361908939,0.002083398923594716,1.7904066823004536,0.000987748476005381,0.012840730188069954
OpticNerve,B cell,0.0010413212384426402,0.0005070951255527448,0.9107104177102575,0.17754452618724545,0.46161576808683813
OpticNerve,Neutrophil,0.001146881132279547,0.0015739532717220141,-0.4249353190649183,0.6183155393620797,0.8931224457452261
