sample,tissue,condition,Homeostatic MG,MHCII+ MG,Activated MG (Ccl5+),DAM-like MG,Iron+ MG (Fth1+),Proliferating MG,BAM,MHCII+ Mac/APC,pDC,T cell,gdT cell,NK cell,B cell,Neutrophil
GSM8880855,OpticNerve,Sham,0.9106602059357964,0.026650514839491216,0.0003028467595396729,0.02998182919442762,0.0030284675953967293,0.011205330102967898,0.007874015748031496,0.0006056935190793458,0.0,0.003331314354936402,0.0003028467595396729,0.0027256208358570565,0.0009085402786190188,0.0024227740763173833
GSM8880856,OpticNerve,MB,0.8284313725490197,0.03333333333333333,0.0,0.09509803921568627,0.00784313725490196,0.006372549019607843,0.008823529411764706,0.0029411764705882353,0.0,0.006372549019607843,0.000980392156862745,0.007352941176470588,0.000980392156862745,0.0014705882352941176
GSM8880857,Retina,Sham,0.876485788113695,0.020155038759689922,0.0,0.025322997416020673,0.00516795865633075,0.020671834625323,0.034108527131782945,0.0005167958656330749,0.0,0.00516795865633075,0.0,0.0015503875968992248,0.006201550387596899,0.004651162790697674
GSM8880858,Retina,MB,0.34494909945184027,0.19537979639780736,0.05403288958496476,0.19733750978856696,0.010571652310101801,0.007830853563038372,0.047768206734534066,0.06303837118245889,0.003523884103367267,0.028974158183241974,0.008613938919342208,0.030931871574001565,0.0011746280344557558,0.005873140172278779
GSM8880859,Retina,MB,0.42776432606941084,0.022598870056497175,0.003228410008071025,0.26069410815173527,0.03470540758676352,0.0129136400322841,0.08555286521388217,0.012106537530266344,0.004035512510088781,0.052461662631154156,0.01775625504439064,0.0516545601291364,0.0016142050040355124,0.0129136400322841
GSM8880860,Retina,Sham,0.8993973110802039,0.022253129346314324,0.0,0.016689847009735744,0.009735744089012517,0.010199350950394067,0.031988873435326845,0.0,0.0,0.003245248029670839,0.0,0.0018544274455261937,0.0009272137227630969,0.0037088548910523874
GSM8880861,OpticNerve,MB,0.7509615384615385,0.041346153846153845,0.0,0.12403846153846154,0.03173076923076923,0.015384615384615385,0.013461538461538462,0.006730769230769231,0.0,0.008653846153846154,0.0,0.006730769230769231,0.0009615384615384616,0.0
GSM8880862,OpticNerve,Sham,0.8026981450252951,0.00505902192242833,0.0,0.05227655986509275,0.0387858347386172,0.01517706576728499,0.05396290050590219,0.013490725126475547,0.0,0.01517706576728499,0.0,0.0016863406408094434,0.0,0.0016863406408094434
GSM8880863,OpticNerve,Sham,0.8688725490196079,0.02144607843137255,0.0006127450980392157,0.06372549019607843,0.007965686274509803,0.006127450980392157,0.017769607843137254,0.0,0.0,0.010416666666666666,0.0,0.001838235294117647,0.0006127450980392157,0.0006127450980392157
GSM8880864,OpticNerve,MB,0.7490149724192278,0.030732860520094562,0.0,0.15090622537431048,0.01615445232466509,0.014184397163120567,0.016548463356973995,0.0007880220646178094,0.0,0.009850275807722617,0.0003940110323089047,0.008274231678486997,0.001182033096926714,0.001970055161544523
GSM8880865,Retina,Sham,0.922886937431394,0.018111964873765093,0.0010976948408342481,0.009879253567508232,0.0013721185510428102,0.011251372118551043,0.02552140504939627,0.00027442371020856203,0.0,0.0019209659714599342,0.0,0.000823271130625686,0.0043907793633369925,0.002469813391877058
GSM8880866,Retina,MB,0.12478849407783418,0.12034686971235195,0.21594754653130288,0.04272419627749577,0.00338409475465313,0.004864636209813875,0.017766497461928935,0.08650592216582065,0.039128595600676816,0.11209813874788493,0.008037225042301184,0.034475465313028766,0.012055837563451776,0.17787648054145516
GSM8880867,Retina,Sham,0.8297632468996617,0.021796317173994738,0.04021044720030064,0.006012777151446824,0.0026305900037579856,0.010898158586997369,0.0311912814731304,0.0011273957158962795,0.0,0.00751597143930853,0.0,0.004885381435550545,0.033821871476888386,0.010146561443066516
