root_id,cell_index,selection,homeostatic_score,spearman_rho_vs_reference
1,6231,top10_homeostatic_score,2.9770560264587402,0.24275800258662392
2,6074,top10_homeostatic_score,2.9696648120880127,0.30109971188694346
3,10901,top10_homeostatic_score,2.953751802444458,0.5716473168502408
4,9964,top10_homeostatic_score,2.9462180137634277,0.37859845553815047
5,221,top10_homeostatic_score,2.937279224395752,0.47335423228881723
6,6344,top10_homeostatic_score,2.9248313903808594,0.4449725754994673
7,5672,top10_homeostatic_score,2.9231550693511963,0.2993667350800154
8,6331,top10_homeostatic_score,2.920116662979126,0.22275502363161195
9,13366,top10_homeostatic_score,2.916295051574707,0.44565337091964896
10,4782,top10_homeostatic_score,2.9001734256744385,0.4525202187157084
11,17130,random_homeostatic,1.7945407629013062,0.4727258249091198
12,11859,random_homeostatic,2.5166163444519043,0.5578881466751315
13,5392,random_homeostatic,2.126730442047119,0.29637794681934404
14,6066,random_homeostatic,2.25648832321167,0.45490490442186177
15,21562,random_homeostatic,2.0363101959228516,0.3236161111894837
