mg_state,Homeostatic,DAM,MHCII,IFN,Chemokine,Iron,Prolif,Ribo
0,2.0104814,1.4850024,0.11651696,0.16319108,0.1926195,2.5166988,0.0302734,2.1528428
1,2.062694,1.1836531,0.15818417,0.1066845,0.33637342,2.5150146,0.03864232,2.1800683
10,0.42527935,0.8565997,0.8397732,0.0876096,0.4766565,2.0175273,0.06268144,3.0763934
11,0.92622906,2.379819,0.1881906,0.23176576,0.4563972,4.456695,0.101236485,3.4991436
2,2.1837916,1.1363112,0.09358711,0.10983992,0.22074927,2.3853273,0.03340175,1.579194
3,1.6814505,1.6483972,0.18930852,0.18528998,0.33314237,2.544736,0.043116387,2.2934015
4,1.0427088,1.1055676,0.7898344,0.11874638,0.33764175,2.1328611,0.03096605,1.7596083
5,1.2099526,0.756569,0.08078884,0.12579197,0.10174363,0.8263354,0.02309591,0.38644278
6,1.9262347,1.411302,0.17243814,0.9806737,0.593061,2.4691663,0.04159022,2.0313325
7,1.8441551,1.7258022,0.1546789,0.23260221,0.47969317,2.7214634,0.02863406,2.1370692
8,1.758038,1.1902406,0.23692787,0.30634585,0.48293114,2.434755,1.4687339,1.96435
9,0.69867325,2.618425,0.5433141,0.27156517,0.36718634,3.9571793,0.057911318,2.1580122
