gene,spearman_dpt
Gm42418,-0.16348127768204002
Hpgd,-0.1286186011236718
Ccr5,-0.1118928462926441
Csmd3,-0.09162645525804194
4933406I18Rik,-0.07728888104799887
Nav3,-0.06790389693782298
Jun,-0.061379683046126815
Tyrobp,-0.058516250180172515
Agmo,-0.05557814040835042
Arsb,-0.054032054013522644
Tmsb4x,-0.05360985264456419
Nav2,-0.050727792636930294
Glul,-0.050670329163290416
Rps9,-0.04878217464937549
Zfp36l1,-0.0459511963441725
Rpl13,-0.040468988440587085
Ctsd,-0.037847051669651
Sall3,-0.030964617911515918
P3h2,-0.029370816626054303
Fth1,-0.028791789837382144
Gm10062,-0.021760015769248898
Xirp2,-0.020967035206542438
A830008E24Rik,-0.020780651424887983
Hdac9,-0.020258657548344456
Rtn1,-0.020083491464560368
Tpt1,-0.015672975347829875
Fos,-0.015517231591238726
Fhit,-0.015078801490960993
B230216N24Rik,-0.01498537099595071
Cacnb2,-0.014619838342786141
Grik1,-0.013688341557402197
Gm35188,-0.013472491671962784
Gm29325,-0.013396301291671488
Egr1,-0.01247364134079915
Naa11,-0.011994737807295855
Epha6,-0.011239955606335408
Smoc1,-0.01080500833076159
Klf2,-0.010705819389810991
Gm48556,-0.01009631819711398
Zfp300,-0.008539563407845768
Dpyd,-0.00827679467598572
Lin28b,-0.008115608825052127
Rplp0,-0.008091056325616323
8030442B05Rik,-0.007910691395272193
Ptprg,-0.007286639753832397
Lama4,-0.00679720764090331
D130079A08Rik,-0.006772357602572737
Gm17268,-0.006594268494040968
Acox3,-0.006440181274230105
4930549P19Rik,-0.006421322924349334
Gm11437,-0.005851372392112533
Slc24a2,-0.005742175320124082
Sox4,-0.005425369364862523
Stox2,-0.005087042075891135
Ccl6,-0.0049534359621172626
Apod,-0.004801124121719789
Galnt18,-0.004566478331504191
Gm41071,-0.004413824630230821
Tex21,-0.004092592191676453
5830416I19Rik,-0.0033478425226659697
Reep6,-0.0031405128102603317
Calcrl,-0.0031348442585173377
Prss8,-0.002888725310582882
Dynlt1c,-0.002744956899162255
Dynlt1b,-0.002651869761387593
Gm46329,-0.002196929304353572
Ctcflos,-0.0020377070577660052
Kantr,-0.0018180103853469476
4933436I20Rik,-0.0008207918082769927
Xlr5a,-0.0007130924501349088
Zkscan2,-0.0005295453256250157
Nhs,-0.0003446424052435998
Pcsk4,-0.0002090571523278843
Wnk3,-0.00020809533131056464
Csmd2,-0.00016267394702705598
Stxbp5l,0.00031544651137625876
Doc2b,0.0006274568335871963
Mgl2,0.0008722038269270193
4933406M09Rik,0.0010020396692989556
Plp1,0.0010568112335146774
Fstl4,0.0012139364438859554
Lypd1,0.0012156774018159087
Tigd5,0.0013827499597237735
Slc35f2,0.002175135025249604
Gm17114,0.0022680215302471
Mb21d2,0.00241745002394029
Gm10800,0.0024361796201080935
Olfr1369-ps1,0.002495397039778608
Kcnd2,0.002600985695379113
A230057D06Rik,0.00264688976255874
Ptger3,0.003468079937651272
4930590L20Rik,0.003733790858308743
Gm4013,0.003815328951033581
Pzp,0.004382893409205469
Vmn2r111,0.004397441015777675
Xpnpep2,0.004805105755794129
Gm16083,0.004831208951853912
Mpdz,0.0049430320087363675
Lrp1b,0.005002138954820678
Slc44a4,0.00511545659857957
Asb2,0.005208689196547634
A230004M16Rik,0.00536262989221974
Gm16170,0.005471437084270157
Arhgap15os,0.005525461810041561
Nuak1,0.0055338863214595075
Cr2,0.005593115788625933
AA386476,0.00568710325149043
9130015L21Rik,0.005732315362903662
Klhl14,0.005747138647810399
Cdh12,0.005764598761560745
Astn2,0.005830354154999521
Sfta2,0.005856845827344295
Atp1b2,0.005955575979189635
4930441J16Rik,0.00608531798998175
Pdgfrb,0.006197465132402033
Tcim,0.00638835371566629
Pkia,0.006579528990985165
Gm49497,0.006709430106186992
Hormad2,0.006893398524187149
Lrrc4c,0.007007204770470081
Gucy2f,0.007152496982704799
Gm47431,0.007223090096394222
Zfpm2,0.007457408824250702
Fam169a,0.007538730452039759
Otx2os1,0.0076194664587788145
Rpusd2,0.007661130066060076
Gm7568,0.0077273208524624905
Rapgef4,0.00790293800444822
Ftl1,0.007904057049847073
Prkn,0.008024605129753384
Gm19951,0.008065202254615917
2810407A14Rik,0.008157631774058467
Cxcl17,0.008283886286781835
Sp9,0.008593894190403613
Limch1,0.00862893262432836
4632411P08Rik,0.008685648273177951
Gm42670,0.008846772412147347
Gm11638,0.008935949336195306
Ranbp3l,0.008959465682494883
Asb15,0.009082433380265263
Gm34921,0.009106425059912536
Ptprm,0.009312733028121594
Galnt13,0.00952583407538544
Acp4,0.009545348833035304
Mc1r,0.009547677560678444
Peg10,0.009553443303543893
Ssbp2,0.009561567227158296
Myt1,0.009659465554966218
Lamb1,0.009680830296908948
Gm15932,0.00991906332126037
Gm28376,0.010162627537415926
Ppp4r4,0.010217823575891337
C430049B03Rik,0.0103831068497914
Abca6,0.01040736125906056
Rhbdl3,0.01062520231279739
Adamts16,0.010692654173729981
Sez6,0.01080345195863373
C5ar1,0.010902813550798062
Cfap206,0.010952066125691174
Lyve1,0.011119454818037382
Gm26838,0.011180742411803111
Nckap5,0.011188688448882001
Gm26594,0.0112303594913383
Celf4,0.011492007787344567
Alpl,0.011516794414339003
Cntnap2,0.011568022239329475
Gm41335,0.011668930854661988
Nr6a1os,0.011793657546082623
Ncam1,0.011855231547300702
AI847159,0.011855241517377579
Tmeff2,0.011867941748897742
Grid2,0.012160410623004424
Abhd12b,0.012174051501277866
Alox5,0.012272696038929823
Gm32884,0.012461227426785846
Gm13856,0.012494276174819505
Gm44199,0.012571690254973681
1700054A03Rik,0.012627465421696857
Apba1,0.012646394959160739
Kctd16,0.012658602668396473
Cfap299,0.012878894482902652
Nrxn3,0.012883237552863105
Aff2,0.012904092330384778
Cplx4,0.013083755640511903
Ghr,0.013332891499845609
Gm16146,0.01342069017543165
Spata46,0.013554463630159549
Gm37864,0.013637047170518904
Chrm3,0.013642529029078424
Slc25a21,0.013703681931751963
Iqank1,0.013821341798679578
Htr2c,0.014295509816857899
Zfp248,0.014306470339638402
Smug1,0.014432071780096353
Ccdc24,0.01443588566199165
Gm13266,0.014647213849451415
Otud1,0.01486814708162134
Tex11,0.014871383307568592
Zfp101,0.01492905740844371
Prss36,0.014930533333779401
Gm26611,0.015040847570134483
Gm15558,0.015196960659102787
Ms4a1,0.01524830553042367
Tmem108,0.015273197383438282
Gm13201,0.01527990148625134
Gm15577,0.015313994556641099
Kcnb1,0.01531787299703531
Usp46os2,0.015336484148602336
Ctsb,0.015425787038151482
Gm26862,0.015500859296788608
Hapln1,0.01552957574025412
Gm49767,0.015646156391264966
Gm19395,0.015718374030578172
Zfp976,0.015809287233570425
Gm48984,0.015811873821880824
1700111N16Rik,0.01582361543579377
4930417O13Rik,0.015831534344155813
Gm49016,0.015857368440712012
