col,tissue,time,injury,sex
UON-01,UON,2W,Glaucoma,M
MON-01,MON,2W,Crush,M
R-01,Retina,2W,Crush,F
UON-02,UON,2W,Crush,M
MON-02,MON,2W,Crush,F
R-02,Retina,2W,Crush,M
UON-03,UON,2W,Crush,F
MON-03,MON,2W,Glaucoma,M
R-03,Retina,2W,Glaucoma,M
UON-04,UON,2W,Glaucoma,F
MON-04,MON,2W,Glaucoma,F
R-04,Retina,2W,Glaucoma,F
UON-05,UON,3D,Crush,F
MON-05,MON,3D,Crush,F
R-05,Retina,3D,Crush,M
UON-06,UON,3D,Crush,M
MON-06,MON,3D,Crush,M
R-06,Retina,3D,Crush,F
UON-07,UON,3D,Glaucoma,M
MON-07,MON,3D,Glaucoma,M
R-07,Retina,3D,Glaucoma,M
UON-08,UON,3D,Glaucoma,F
MON-08,MON,3D,Glaucoma,F
R-08,Retina,3D,Glaucoma,F
UON-09,UON,6W,Glaucoma,F
MON-09,MON,6W,Glaucoma,M
R-09,Retina,6W,Glaucoma,M
UON-10,UON,6W,Glaucoma,M
MON-10,MON,6W,Glaucoma,F
R-10,Retina,6W,Glaucoma,F
UON-11,UON,0D,Naive,F
MON-11,MON,0D,Naive,F
R-11,Retina,0D,Naive,F
UON-12,UON,0D,Naive,M
MON-12,MON,0D,Naive,M
R-12,Retina,0D,Naive,M
