col,Pan_reactive,A1_neurotoxic,A2_neuroprotective,Complement,DAM_MG,IFN_module,T_NK_infil,Neutrophil,tissue,time,injury,sex
MON-01,11.785587669592497,5.997806982019479,4.35555259297145,10.413050331200015,10.88818434435833,5.635454588085834,0.7862334332555293,0.1498492418641726,MON,2W,Crush,M
MON-02,11.533125558402162,5.71911728508132,4.649615395850117,10.726447878208203,11.919721087735581,5.298633498432179,1.2468621648312601,1.3813813871234908,MON,2W,Crush,F
MON-03,11.349682066637001,5.625194792348183,3.8943851672281244,9.639351365449224,9.421776258360289,6.784439900844636,1.0137487277093888,0.276127752681997,MON,2W,Glaucoma,M
MON-04,11.656920508193906,5.629040528137056,4.209039970264894,9.643468941198279,10.44969112620374,6.011381425485648,0.9460585770163318,0.0,MON,2W,Glaucoma,F
MON-05,11.479231847503309,5.219346980663209,5.212104668583724,9.377085985853613,11.216719260762261,5.595001589521723,0.77675655606261,1.4521665847784926,MON,3D,Crush,F
MON-06,10.38050662323908,4.834679937419679,5.153078450371863,9.034235424360006,11.422771156558447,4.262831171590718,0.23681437378255318,1.8257967050297055,MON,3D,Crush,M
MON-07,11.067323687055072,5.297239130834272,3.7473577695605074,9.208015441417903,8.945646303824825,5.7441021859259545,0.5649440133426163,0.06989845545911509,MON,3D,Glaucoma,M
MON-08,10.987943834472675,5.299379998488774,4.9413205367964155,9.068975684002405,10.490604620830435,4.965989259291768,0.28874026694209304,1.1394463978423046,MON,3D,Glaucoma,F
MON-09,11.1523207680995,5.142106560526935,3.3242461415738163,8.901203438490787,8.500046316027467,5.116216769830182,0.543468310635349,0.0,MON,6W,Glaucoma,M
MON-10,10.89272825577929,5.174413000642884,3.7378706071296155,9.200449483888063,8.794331381188343,5.397414549204721,0.4878581988296981,0.27477474680096875,MON,6W,Glaucoma,F
MON-11,10.776657153340103,5.006743376359158,3.1133918713163307,8.523990743095073,7.823244730194113,5.901130686329893,0.3090365964952872,0.029864697594905024,MON,0D,Naive,F
MON-12,11.375725688881273,5.022968681110419,3.3959639691182937,8.978922336425244,8.347884387892426,4.587982282469937,0.5806114437304193,0.7033190102918581,MON,0D,Naive,M
R-01,6.715421427699347,3.469784485697845,1.5807535754759812,3.7679903037648117,6.123389638277042,4.21224170463485,0.12822316545162954,0.1646568306412204,Retina,2W,Crush,F
R-02,7.051799097364146,3.6200435358450824,1.8409185623865554,3.961379386301916,6.47570034961361,4.111605690260638,0.0,0.0,Retina,2W,Crush,M
R-03,6.134667168028894,3.3266481222174695,1.3104058694363712,3.692849553462188,5.733461444110614,3.9769912603583717,0.177612772446473,0.0,Retina,2W,Glaucoma,M
R-04,7.136849381572605,3.807844273793042,1.9047770199939515,5.081906855008825,6.663392477524609,3.7392543067757766,0.2743543153763575,0.10580170236087261,Retina,2W,Glaucoma,F
R-05,6.694747874299179,3.290536755945928,1.5741129457010092,3.2916233070918053,6.45074857769635,3.805292655652975,0.09993399108820779,0.4548104623220919,Retina,3D,Crush,M
R-06,7.032660776972475,3.886414407859447,1.8603005375994128,4.233449993289407,6.699792404001331,3.9118078382865225,0.1249905811722937,0.44999493432766347,Retina,3D,Crush,F
R-07,7.389068566267846,3.980838776785532,1.755233029265012,4.854374677886554,6.817827000224186,3.797887315281717,0.28728941550810133,0.6132149211232406,Retina,3D,Glaucoma,M
R-08,7.226954076848062,3.6724662321078347,1.9413076779455043,3.8221273783673384,6.727879620908662,3.9435835291135213,0.1745394865314429,0.4726364002676993,Retina,3D,Glaucoma,F
R-09,6.41357983742504,3.3085318448211987,1.683240532590763,4.67717403779619,6.385488716433547,3.4238895600877104,0.3412095202539519,0.0,Retina,6W,Glaucoma,M
R-10,6.943697329631931,3.6036604364401654,1.8798740409989756,4.934861597391473,6.902594641980364,3.7241230667458898,0.24684955455073088,0.1010615406706749,Retina,6W,Glaucoma,F
R-11,6.037293160991015,3.0034250436254517,1.6109515881504635,2.655440910437502,5.887272558462122,3.3163081448191485,0.12103811547252194,0.42840326026755876,Retina,0D,Naive,F
R-12,5.518172785817992,2.9724557594632275,1.416152730610116,2.7504317993947134,5.659853464692585,3.4367074707152505,0.12233083198493722,0.09379168049938758,Retina,0D,Naive,M
UON-01,12.056104134353532,5.510124270827583,4.36539084473728,8.753558432126404,9.33558243308367,5.332134190968586,0.5198774345994019,0.10636994156917379,UON,2W,Glaucoma,M
UON-02,12.090642278555409,6.597478171288783,5.0732325503302365,9.064920924565548,10.462077342311755,7.526328866276348,0.7029892989010355,0.165456259775235,UON,2W,Crush,M
UON-03,12.114013811325966,5.734143922102439,4.732548423944935,9.379505210263968,10.707123089202366,5.431613803251785,1.5354675130226472,1.7604562777317898,UON,2W,Crush,F
UON-04,11.277139743856118,6.147190522710135,4.51072343734569,8.169476693753111,9.157049693823101,6.134689225668797,0.8982666199959704,0.1057691398489982,UON,2W,Glaucoma,F
UON-05,11.555739021151796,6.184246338254629,4.467569982674569,8.388032720662698,8.973052383231805,6.246105114173244,0.5776970848257761,0.1227284168135771,UON,3D,Crush,F
UON-06,11.912381624148248,6.104311878334346,4.696039089594849,8.677026041096784,9.9610554946861,6.330540570894327,0.6221228585892277,0.528291598542533,UON,3D,Crush,M
UON-07,11.78021528042673,6.208541054615224,4.590707471654919,8.642148101917986,9.287182370127162,6.560508999780063,0.46293043494749886,0.6716165722523347,UON,3D,Glaucoma,M
UON-08,11.823505841410194,6.222436295772207,4.482265287050986,8.831155816720907,9.24200382760108,7.326854256466877,0.6576678363762875,0.6257419961162985,UON,3D,Glaucoma,F
UON-09,11.25636103159808,5.883242194314432,4.037105178492401,8.102658119315794,8.666030384922225,5.900492755696214,0.8756430398069133,0.1026299113964576,UON,6W,Glaucoma,F
UON-10,11.918854635452668,5.618897527662147,4.258379366688772,8.747483994457117,9.193250399551331,5.8625020066104945,0.8741677092917229,0.34707299832129124,UON,6W,Glaucoma,M
UON-11,11.19466084673792,6.374153038808021,4.196689248828386,8.115315682071355,8.575072374877564,8.163572718452441,0.4024682731313661,0.08855699321390982,UON,0D,Naive,F
UON-12,11.449103375167303,5.941636108380852,4.497390880624304,8.126675424406836,8.466964801911317,6.02496192523301,0.5837608647416883,0.03869559551259102,UON,0D,Naive,M
