gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Cx3cl1,-5.3009076199355745,0.0095387515929848,3.4886618316666667,175.94939636666666,1.0
Spp1,3.437895541348376,0.08751577144439433,148260.75393333336,13680.0507401,0.8407861238151985
Lif,1.1975450949386013,0.10174467151632746,86.46478789333334,37.13609779,0.8056590478580115
Aqp4,-0.8509016392538309,0.15122794734804418,3155.0101486666667,5691.267590666667,0.7566722295125732
Ednrb,-2.6043416690845147,0.15297023317862948,178.08857761333334,1088.0626113,0.7583500522724889
Stat3,-0.30112144219555353,0.18246814703901976,5701.803992333334,7025.434973333334,0.7529460418075284
Il6st,-0.47113906611038137,0.20582657952457745,4342.485654666667,6019.955016333333,0.7409662055616468
Clu,-1.0455095387307913,0.22991417100091718,50509.92003,104258.34950333333,0.7379442313994531
Rlbp1,-0.9011516407468524,0.2586181184562608,25443.77211,47518.54133,0.7435092531892243
Apoe,1.5756491755543611,0.3284589462638306,3790196.965166666,1271580.5843666669,0.7609517991774027
Tgfb1,-0.4785782987767057,0.3434266655343765,182.98879009333334,255.36444126666666,0.764142663198269
Glul,-0.6092607773413969,0.36488249897090114,34371.22007333333,52433.043849999995,0.7682486990051395
Cxcl10,0.32922765895357176,0.43436938627368565,3028.7571463333334,2410.5730273333334,0.7694501220358092
Ccl2,1.0037826262387268,0.4398809705672818,34447.633376666665,17178.215116666666,0.7707408867769513
Serpina3n,-0.9695677289087418,0.5087469696877602,1710.2819726666667,3350.1243584333333,0.8000225234596962
Gfap,-3.4104188587408895,0.5605954325905151,2200.905820266667,23410.924434,0.8227084036073928
C3,-0.4349014397210914,0.602900144479471,1006.4858909999999,1360.9380437666666,0.838428127967848
S100a6,-0.06977429044454656,0.6567561596471426,5.202416775666666,5.509761836666667,0.8626685320541586
Lcn2,-1.077856249153642,0.767198630600417,322.1050286766667,681.0414660800001,0.9090419796024195
Vim,0.10573354810925409,0.7768345273468048,4923.176687333334,4575.196432333333,0.9122990606279419
Osmr,-0.5691204036198572,0.8878334136362935,357.51360868,530.8975111366667,0.9610612249687607
Socs3,0.11730541149531519,0.9094220678753557,7046.851966333333,6496.470644333333,0.9670845869079315
