gene,log2FC,pvalue,padj
Epb41l3,-1.1536718633017244,4.6716144303382325e-06,0.08569967406765212
Apc,-1.7575608851750193,1.0874852129410754e-05,0.08569967406765212
Rrp1,-0.45229716423839683,1.534638852558412e-05,0.08569967406765212
Tax1bp3,-0.6437333768925289,1.881407020621296e-05,0.08569967406765212
Nectin2,-0.727533636604651,2.1626942430322884e-05,0.08569967406765212
Stk32b,-2.071043102034565,2.6063150066416942e-05,0.08569967406765212
Dpysl4,-2.4356504078132595,3.0444690688397184e-05,0.08569967406765212
Coch,-2.676073638359952,3.059063861062007e-05,0.08569967406765212
Hivep3,-0.4738139049936123,3.7748641267653194e-05,0.08632840224821473
Trim25,0.9706183866119318,4.297714612887445e-05,0.08632840224821473
Tmem191,-0.8242211075477055,4.472758163758954e-05,0.08632840224821473
Plp2,2.1087098153637065,4.826886314047535e-05,0.08632840224821473
Glra2,-2.0615409370703848,5.224296582481781e-05,0.08632840224821473
Kcnab1,-1.8666675460404782,5.6504993136931234e-05,0.08632840224821473
Fbxo32,-0.9244397354561027,6.563817652882995e-05,0.08632840224821473
Garem1,1.7054807553391846,7.286433494541979e-05,0.08632840224821473
Asap3,-0.9651987963801663,7.467029539268948e-05,0.08632840224821473
Yipf1,-0.17577239323800953,7.539036263339255e-05,0.08632840224821473
Fam193a,1.2670997882527075,8.632958534694074e-05,0.08632840224821473
Dst,-0.35605698537899144,8.735873903272995e-05,0.08632840224821473
Crip1,1.081772117980229,8.787076198589274e-05,0.08632840224821473
Cyp4f14,-3.320803318904647,8.848980764638949e-05,0.08632840224821473
Gm14148,0.9696910323481958,9.093182046001295e-05,0.08632840224821473
Sprr1a,3.549090779655863,9.244519248425634e-05,0.08632840224821473
Ky,-4.050233477414649,9.95974216734475e-05,0.08655737038927502
Serinc5,-1.125202495902867,0.00010120753198968036,0.08655737038927502
Nwd2,-0.712531762588986,0.00010427668215734542,0.08655737038927502
Plppr2,-1.1821460430989372,0.00010864607919316519,0.08696342595990066
Vmn1r88,0.5751292860275363,0.00012232849088332628,0.09038545692576366
R3hdm4,-0.30707925618913734,0.0001290474734224539,0.09038545692576366
Muc15,2.965527056695391,0.00012989083351641967,0.09038545692576366
Pax6,-1.0438401112668085,0.000129930057227364,0.09038545692576366
Ddx39b,-0.3620691021130682,0.00013529006044541355,0.09038545692576366
Maged1,-0.6156091963428807,0.000137118754929322,0.09038545692576366
Or52n2b,0.8492702877018292,0.00016236476102316172,0.10396911497288859
Fgd6,-0.8761639428199004,0.00017010364791248802,0.1058989710281856
Gstt1,1.4532523219257563,0.00017949350404554534,0.10859787200027103
Septin6,-0.8716333752306067,0.00018412989184411472,0.10859787200027103
Ccar1,-0.5144501680669595,0.00020756482323752481,0.11239203799336688
Camkv,-0.9836590794789615,0.00020995521432403018,0.11239203799336688
Adam22,-1.6030324219799947,0.00021645643256324265,0.11239203799336688
Zfyve16,-0.8403422870653614,0.00021682068995199284,0.11239203799336688
Wdfy3,0.1805054693850927,0.00021932298835503804,0.11239203799336688
Abat,-1.0908980712159924,0.00022065186827182503,0.11239203799336688
Cbx7,0.8843790915437566,0.0002356029788854353,0.11497648455315654
Lnx1,-0.9336506265717031,0.00024008004610018684,0.11497648455315654
Kcnj10,1.6831858014592642,0.00024111613305364792,0.11497648455315654
Chrm1,-2.09616291387594,0.0002560034397217806,0.1169392992565
Trabd2b,3.5963355955903644,0.00025939944540016684,0.1169392992565
Rogdi,-0.4693555864639958,0.0002641873743139701,0.1169392992565
Selenoo,0.6448702055112161,0.0002674875532795172,0.1169392992565
Gm29214,2.543352955908271,0.0002713666966062621,0.1169392992565
Dnmbp,0.5134271949359857,0.00028183372287072817,0.1169392992565
Naxe,0.3174493677358807,0.000287066443273954,0.1169392992565
Cfi,5.317216435517093,0.0002874463753654745,0.1169392992565
H2-T7,1.081937396570555,0.0002940398950082236,0.1169392992565
Gria3,-1.5265635313502752,0.00029740942609407907,0.1169392992565
Anks1b,-1.8919969269030013,0.00032111109638560215,0.12319757550998152
Slc1a1,-1.1241764466555786,0.0003243198712782844,0.12319757550998152
Dph6,0.47566410703656636,0.00036247589165020887,0.13137161032497557
Klhl32,-1.4724894678784963,0.0003642936137637974,0.13137161032497557
Wnt7b,5.9167145104556464,0.00036744488083495725,0.13137161032497557
Or8c15,1.1871071460731581,0.00038227534090489335,0.13137161032497557
Dact2,-3.88884423563133,0.00038259053670094284,0.13137161032497557
Or10h28,0.6126378058067248,0.0003863706661197425,0.13137161032497557
Rbck1,-0.4489635428346972,0.00038862846037045635,0.13137161032497557
