gene,log2FC,pvalue,padj
Ptges3-ps,7.23267887581445,3.0697598831622615e-06,0.05849984430525606
Ddx3y,-9.391639558076902,7.452562722394203e-06,0.05849984430525606
Vmn2r53,-0.8632474984243039,1.0440727954629288e-05,0.05849984430525606
Fut2b,-4.650254779006357,1.065862153689643e-05,0.05849984430525606
Gm48216,-1.4529223955060129,1.4994128774831887e-05,0.06583622062453186
Selenot,-0.7397277121105734,2.610644785301127e-05,0.09552349269416822
Cryaa,-10.749944595225045,3.078683775252767e-05,0.09655631943128463
Crybb2,-11.735020473390245,4.2651229064473534e-05,0.11105199184009266
Gm47355,-1.0643742252035295,5.199508853476235e-05,0.11105199184009266
Gm47103,-1.5306333601118167,5.261842970194829e-05,0.11105199184009266
Slc44a1,-1.3666888923843796,6.490750684619896e-05,0.11105199184009266
Insr,-0.6025156787016073,7.486969349996941e-05,0.11105199184009266
Ctbs,0.7108304468394255,7.562287135275779e-05,0.11105199184009266
Pla2g3,-4.143886101053466,7.750115180694046e-05,0.11105199184009266
Wnt5b,-4.451864380603135,7.944012714224458e-05,0.11105199184009266
Dact2,2.285811871780295,8.09343112617966e-05,0.11105199184009266
Sprr1a,-3.549090779655863,9.244519248425634e-05,0.11380199560101487
Prph,-5.241674720351122,9.33058176559291e-05,0.11380199560101487
Cx3cr1,-5.187352583277095,0.00010125334717819067,0.11699557810263146
Csnk2a1,-0.5927660974768596,0.0001153973857291276,0.11923310908611832
Vmn1r218,-1.0058321024680117,0.00012001968010263811,0.11923310908611832
Vmn2r108,-0.9808590443810621,0.00012410342334876563,0.11923310908611832
Gm6238,-3.134923524752021,0.0001496735117443439,0.11923310908611832
Vmn1r81,-0.9040618982759359,0.00015189784382052546,0.11923310908611832
Eif2s3y,-7.061590990122571,0.0001525910462669633,0.11923310908611832
Cryba2,-10.23433008366123,0.00015329821785811776,0.11923310908611832
Tnni1,-4.09696920636737,0.00015897484706173552,0.11923310908611832
Mymk,1.193422145572649,0.00016480621164543765,0.11923310908611832
Cpox,-0.9838937473122638,0.00016946384622556883,0.11923310908611832
Gm15801,5.51399657029716,0.00017362671777437818,0.11923310908611832
Oaz3,-1.1535732726810828,0.00017937696310417928,0.11923310908611832
Gm48082,-1.4221150749981923,0.00018028366827358238,0.11923310908611832
Gm48119,-1.0492813174362006,0.00018138040640154285,0.11923310908611832
Crygc,-8.83800652005593,0.00018476416109367756,0.11923310908611832
Gja3,-7.7999474047108475,0.0001900864907540376,0.11923310908611832
Dpysl4,1.0435193216761505,0.00021688133235699234,0.12987155820608706
Fam193a,-0.966593051811591,0.00021887800189601992,0.12987155820608706
Gm8974,-3.0654596103247282,0.00022982424463343726,0.13277793333374951
Arpp19,0.3818942851643037,0.0002381268908821306,0.13404712211349473
Or7c70,-1.076200044193536,0.0002595366715848362,0.13766425131626245
Vmn2r112,-0.95014821987888,0.00026628772226165877,0.13766425131626245
Or4d11,-1.4214127566123498,0.0002688074958966807,0.13766425131626245
Or5b106,-1.0258065647797272,0.00026963481855695024,0.13766425131626245
Tcstv2b,-2.6867001606856604,0.00028440972227327126,0.13833112291724062
Marchf1,-0.8838284614501557,0.0002856550422581541,0.13833112291724062
Bmal2,-1.189773511903792,0.00029831348536425966,0.13833112291724062
Apcdd1,-2.904629289911706,0.00030245057119458133,0.13833112291724062
Vmn1r201,-1.39071892843209,0.0003048720308113406,0.13833112291724062
Sh2d1b1,1.215050172901532,0.0003164660388005003,0.13833112291724062
St13,0.39900737430244604,0.0003266600394759361,0.13833112291724062
Ypel1,-1.1811425638915658,0.0003268888133000115,0.13833112291724062
Cxcr2,-1.474113962423334,0.0003370095800641065,0.13833112291724062
Vmn1r55,-0.8704731602321747,0.00033921064504403815,0.13833112291724062
Tex47,-5.096649432261601,0.00034574451732938407,0.13833112291724062
Or51ab3,-1.0487652673957397,0.00034655241689205763,0.13833112291724062
Gm8730,1.3980819817079455,0.0003742064539504422,0.14512814480285718
Vmn1r18,-1.1003693317060508,0.00037812526927250494,0.14512814480285718
Cpa6,-0.8728218047698979,0.00038904465588762894,0.14512814480285718
Gm48415,-1.0574356103123712,0.0003900227996432802,0.14512814480285718
Gm47611,-1.0280862026346549,0.00042200799300757603,0.1490548952833638
Actb-ps1,-4.145639376725369,0.00042468791145538527,0.1490548952833638
Mip,-6.215466427758605,0.0004269031428960715,0.1490548952833638
Lad1,-6.512487758898585,0.00042773336990306637,0.1490548952833638
Srrm4,-1.004776935552698,0.0004418053071534372,0.15155302676947752
Idi1-ps1,6.335927719515954,0.00045299750246216374,0.1520011274335701
Gm17235,-1.1039333546832162,0.00045735217824266174,0.1520011274335701
Gm9762,5.3735192259528795,0.00046459180670171393,0.1520011274335701
