gene,log2FC,pvalue,padj
Pcdh18,-2.5104673619273274,9.382479698339432e-06,0.04504451052903341
Lrtm2,-1.966498895228721,1.1570308502262562e-05,0.04504451052903341
Fibcd1,-2.1376361734244798,1.3138666125031377e-05,0.04504451052903341
Cdk14,-1.439574310840026,1.3161758800304008e-05,0.04504451052903341
Grik2,-2.031789522678454,1.4932484926978532e-05,0.04504451052903341
Armc8,-0.6767615626623602,1.6808361004734372e-05,0.04504451052903341
Lgals3bp,2.6366721383745997,1.7181262045659586e-05,0.04504451052903341
Tfap2c,-2.5834199250241197,1.7833384380531172e-05,0.04504451052903341
Cd209f,-5.99040588292171,2.032869414713292e-05,0.04504451052903341
Gnptab,2.8892121148731533,2.2650386526069105e-05,0.04504451052903341
Tet1,-2.1659372443604017,2.2929779990715327e-05,0.04504451052903341
Armcx2,-1.0018219530739145,2.9728248916860476e-05,0.05119185568620583
Nop53,0.3700175850209906,3.599228500109293e-05,0.05119185568620583
Tmem260,2.1374254247154933,3.767352130237298e-05,0.05119185568620583
Zswim4,1.6291244835019532,3.929633812543397e-05,0.05119185568620583
Ncdn,-1.3291894194201301,4.130913822901093e-05,0.05119185568620583
Klk1b24,-2.2254509380186698,4.498054267655244e-05,0.05119185568620583
Rala,4.118771644894593,5.2615797830189315e-05,0.05119185568620583
Cst7,4.116193578590275,5.2926782110600135e-05,0.05119185568620583
Cplx1,-2.12875380766618,5.452601667702362e-05,0.05119185568620583
Brinp2,-1.9281851145900708,5.47347974797003e-05,0.05119185568620583
Gbp2,2.592615269791988,5.549732235017841e-05,0.05119185568620583
Bdh1,-1.0441890645416638,5.660234344054246e-05,0.05119185568620583
Atg9a,-0.9077928472795396,5.896291752305257e-05,0.05119185568620583
Marchf6,-0.8215843460781223,6.065072942041519e-05,0.05119185568620583
Afg3l2,2.774623358732729,6.159416205476198e-05,0.05119185568620583
Pum3,0.6953935199912653,6.713276645856826e-05,0.053728590755674134
Cd83,1.8563721301439244,7.866217466353208e-05,0.06059374948418114
Mgat4c,-2.5396344678158487,8.131883636638683e-05,0.06059374948418114
Oaz2,-0.5984648925180256,9.132765640617588e-05,0.0616437617571154
Gmcl1,2.0262409851530183,9.14026980485413e-05,0.0616437617571154
Slc6a5,-2.3473854535616008,9.163702574895141e-05,0.0616437617571154
B3galt6,3.4069642006556418,9.413874487411764e-05,0.0616437617571154
Ihh,-3.057836138902557,0.00010337280499689903,0.06483247074659144
H2-Q6,2.6539443651119043,0.00010526552960139628,0.06483247074659144
Fdps,-1.0481682738153442,0.00011056239088354746,0.06483247074659144
Kcnc2,-2.657360239255091,0.00011100936728325621,0.06483247074659144
Greb1l,-2.7308139834663727,0.00011444677584614683,0.0648725827421279
H2-D1,1.505097722737517,0.00011708226789499689,0.0648725827421279
Rcc1l,3.026786479035036,0.00012661929411721023,0.0684029081644699
Fdft1,-1.3685481847514502,0.00013182173438160743,0.06947648434761353
Mkx,-1.6372455647792101,0.00014022862669940613,0.07214762843684445
Rfxap,4.2882110896456656,0.00016181424194662168,0.08131730126103599
Rhof,-1.337699211821728,0.000165856150061638,0.081454216970044
Plaur,1.897331039881644,0.00017070095952413043,0.08147251197888407
Ctsb,1.5296400917026745,0.0001734340113391951,0.08147251197888407
Idi1,-1.192312122747568,0.00018349869663512452,0.08436645394868948
Gli2,-4.169590496538415,0.00019841315408880163,0.08449014475227233
Slc5a1,-5.335015790892267,0.0002011195057536014,0.08449014475227233
St8sia3,-1.7094822240616656,0.0002025510420802062,0.08449014475227233
Myf6,-5.172956187378604,0.00020566372332283517,0.08449014475227233
Slc5a3,-1.6974725953794199,0.00020987722202653694,0.08449014475227233
Tnc,-3.6049844770218664,0.0002118036837793301,0.08449014475227233
Cd28,-4.282282792569167,0.00021259706330729538,0.08449014475227233
Rai2,-1.7095504440885483,0.00021504733959808314,0.08449014475227233
Prkar1b,-0.6011800086221051,0.0002306893017455347,0.0890172343110582
Mtss1,-1.538666579270302,0.00024099752576903197,0.09136343042707039
Spop,-0.338230823433447,0.00024697776062023087,0.09201624878004429
Micu2,3.4639241610932237,0.00026227069679485293,0.09457057575441569
Ccl4,3.8205712126817044,0.00026480040494564953,0.09457057575441569
Nynrin,-1.0481930529231,0.0002698552805790062,0.09457057575441569
Plekhf2,3.603950086363527,0.0002770443085531972,0.09457057575441569
Rcan1,2.100217989174272,0.00027766885433866796,0.09457057575441569
Cacna1i,-2.9499387077511194,0.00028069772136430076,0.09457057575441569
Zfp41,-1.0816606075677608,0.0002874335989626735,0.09457057575441569
Sart1,2.0805839536284676,0.0002888452959318541,0.09457057575441569
Hccs,1.9657724495174538,0.0003011322582791565,0.09712189506200436
Ncald,-1.09427322809087,0.0003106883809802439,0.09873037095003075
Fam174a,2.392381803390581,0.000325892510149299,0.1001377266604281
Skint3,-5.007674596962809,0.00032656029213165187,0.1001377266604281
Gm52958,-2.6508209793399216,0.0003290193249521216,0.1001377266604281
Prxl2c,0.7137460166980052,0.0003447770393988461,0.1034762089495787
Cdc42ep4,-1.3506976798371912,0.000352618998252877,0.10438005388008795
Lyset,1.4751305231851486,0.0003574859516607463,0.10439072877617657
Psd2,-1.8720529178109393,0.0003774298561276673,0.10716294245121266
Hpca,-2.315694293193287,0.00038284707005641717,0.10716294245121266
Nrsn2,-1.9716954474823876,0.0003895326964245963,0.10716294245121266
Vdac1,-0.6467653825205257,0.00038997422059766943,0.10716294245121266
Zfp622,3.2547033719176968,0.0003957644461106649,0.10716294245121266
Irf7,3.216491568285905,0.0003981422099017563,0.10716294245121266
Calcrl,-1.0910953036989923,0.000403436980776477,0.10716294245121266
Gabbr1,-1.329716874586584,0.0004066528428432338,0.10716294245121266
Golph3,2.6561351133972178,0.0004161325071245021,0.10804240599550086
Ldha-ps,-3.3133375708841615,0.0004209256024688476,0.10804240599550086
Dcun1d5,2.9815812536468878,0.0004249897963634399,0.10804240599550086
Cxcl10,3.6889852863121604,0.0004496977737537748,0.11111729378713243
Rbsn,-0.6480313885683451,0.000449767140892965,0.11111729378713243
Klrb1a,5.270557517260984,0.0004525115393247098,0.11111729378713243
Oasl1,2.6186083830218294,0.00045792883274299703,0.11118409153644296
Map4k1,1.9603845734863592,0.0004664095724032686,0.11176810122003104
Gm49863,-1.5514772944384132,0.000470678754732881,0.11176810122003104
Brf1,2.4796297967928194,0.00048200574023098727,0.11321371783316743
Trem4,2.61545971326389,0.0004886186316397829,0.11353290334520504
Gabrd,-1.964181989664083,0.0004972513232615618,0.11429304389602714
Serpinh1,-2.0511048951292192,0.000508744145243232,0.11429304389602714
Pdk2,-0.7024198950263951,0.0005131947091104261,0.11429304389602714
Tlr5,-6.58380745749296,0.0005172352681213515,0.11429304389602714
Il4i1,2.49901777560948,0.0005186399864670345,0.11429304389602714
Rrp1,-0.32851052479074383,0.0005236249407981252,0.11429304389602714
Cebpd,4.095543736475215,0.0005315776181997292,0.11473901952828848
Abi2,-0.7857124180029178,0.000536287702918096,0.11473901952828848
Gpr83,-4.247733537584126,0.0005434233977487487,0.11512584511718342
Oas1g,2.8909903385026166,0.0005658074232666279,0.11837511113301685
Tppp,-1.7456293763818422,0.0005753101853326649,0.11837511113301685
Slc35a3,2.6264552996056985,0.0005823998477721824,0.11837511113301685
Gsap,1.3126628764856267,0.0005873917481364318,0.11837511113301685
Ece1,-1.4083572933955093,0.0005932527445771685,0.11837511113301685
Il1b,1.9471258668220095,0.0005958809740694144,0.11837511113301685
Mmp14,3.2780834979831663,0.0005971070902632624,0.11837511113301685
Gpr101,-4.494697473649798,0.0006182123542230557,0.12144500693096372
Sh2d6,2.5757754311066865,0.0006356842768691045,0.12189681335830806
