gene,mean_WT,mean_IOP,mean_KO,mean_KO_IOP,IOP_vs_WT_FC,IOP_vs_WT_p,KO_IOP_vs_KO_FC,KO_IOP_vs_KO_p,KO_IOP_vs_WT_IOP_FC,KO_IOP_vs_WT_IOP_p
Spp1,9.541073208401649,11.066447585827184,5.885269214608727,6.831527370214078,1.5253743774255355,0.05372208659895703,0.9462581556053511,0.6529661410989316,-4.234920215613106,0.07954195268293358
Apoe,17.794728213907174,17.54999663094398,17.428909301753173,18.50268638326488,-0.24473158296319397,0.6139180694314181,1.0737770815117074,0.006421079650441368,0.9526897523209001,0.09968430615779819
Lgals3,9.28044002839156,10.676675185712778,8.505033358236991,10.258105829253587,1.3962351573212182,0.00423667163935153,1.753072471016596,0.0020766928401531478,-0.4185693564591908,0.1974976581231225
Cst7,8.348897871536233,8.110116755224356,7.613601908944803,10.007464877846179,-0.23878111631187693,0.5581619864494098,2.3938629689013755,0.00021489659093205598,1.897348122621823,0.007345435465670854
Itgax,9.317123961997632,8.684433379628501,7.733249950667399,9.780588150052035,-0.6326905823691309,0.3570108429811947,2.047338199384636,0.011830369013394269,1.0961547704235333,0.16277679666828365
Gpnmb,10.024461478824357,11.052749130761093,11.745794350375371,12.10637922225393,1.0282876519367363,0.2164075005424518,0.36058487187855803,0.6615190533591049,1.0536300914928365,0.1437782840606722
Trem2,13.790456085292341,13.42381096151487,12.975827358149154,14.084171451092345,-0.36664512377747016,0.13163186180737557,1.1083440929431916,0.0551566247904937,0.6603604895774744,0.025999989632843678
Ifit3,10.710770834257843,11.517699071721802,10.622876121463632,11.12130064389775,0.8069282374639588,0.09670877484901534,0.49842452243411905,0.03929847812237692,-0.3963984278240513,0.2837989357708943
Isg15,7.37723047655094,8.186326267399943,6.9880863892561935,7.756248394575117,0.8090957908490033,0.08486812185893153,0.7681620053189233,0.06193881261528879,-0.43007787282482646,0.29785596147670357
Usp18,9.451797653568775,10.580536204600453,9.433835010068034,10.33334720233452,1.1287385510316774,0.019625942496779486,0.8995121922664868,0.06698908954882689,-0.247189002265932,0.4473266201014308
Cd74,13.611352411737796,15.829920774172876,15.156307531299138,15.959982591428508,2.2185683624350805,0.02356368367813263,0.8036750601293701,0.10826189907812109,0.1300618172556316,0.8023019101165396
H2-Aa,11.11129660663877,13.690044519056897,12.856456711840202,13.695339926865396,2.5787479124181267,0.01669948332078419,0.8388832150251933,0.17271531238528043,0.005295407808498354,0.9917712284996281
Ccl5,9.123475172214603,8.358448143475513,7.793966854846051,9.936797935856987,-0.7650270287390892,0.1474242686041677,2.142831081010936,0.010382695144129164,1.5783497923814735,0.0190863525457465
Cxcl10,7.174071870572709,7.621406272361536,7.315997848997327,8.079723151782046,0.44733440178882766,0.3324924507714767,0.7637253027847191,0.18578194378214194,0.4583168794205097,0.23825745053005978
C3,8.657913214554908,8.931968300506659,7.695066668851943,9.683034652755591,0.2740550859517512,0.32660917754437196,1.9879679839036477,0.028978787393324285,0.751066352248932,0.03351832256325733
Cx3cl1,11.853929436901375,10.858484574131854,11.677388585016825,11.265779704585189,-0.9954448627695207,0.008485301690779967,-0.41160888043163624,0.16843831865499637,0.40729513045333476,0.19325458389843403
Cx3cr1,15.71667372667472,15.263160365764467,14.242049754662322,10.075807782487372,-0.45351336091025374,0.17921973075786554,-4.16624197217495,0.000873742092614612,-5.187352583277095,0.00010125334717819067
P2ry12,15.917528302945533,15.249655816759235,14.637985790594847,15.563401677559952,-0.6678724861862975,0.018164536077232417,0.925415886965105,0.11524796433397035,0.31374586080071687,0.2062158863515422
Tmem119,15.665962458359175,15.39103639235701,14.973195281457691,15.948798851386066,-0.2749260660021644,0.3121297352632596,0.9756035699283743,0.10291308713360636,0.5577624590290551,0.07417607671386947
