celltype,condition,n,Apoe,Apoe_pct,Axl,Axl_pct,C3,C3_pct,C3ar1,C3ar1_pct,Ccl5,Ccl5_pct,Ccr5,Ccr5_pct,Cd44,Cd44_pct,Csf1r,Csf1r_pct,Cx3cl1,Cx3cl1_pct,Cx3cr1,Cx3cr1_pct,Cxcl10,Cxcl10_pct,Cxcr3,Cxcr3_pct,Gas6,Gas6_pct,Il34,Il34_pct,Itga9,Itga9_pct,Itgav,Itgav_pct,Itgb1,Itgb1_pct,Itgb5,Itgb5_pct,Lrp1,Lrp1_pct,Spp1,Spp1_pct,Tgfb1,Tgfb1_pct,Tgfbr1,Tgfbr1_pct,Trem2,Trem2_pct
Homeostatic MG,Sham,9207,0.4127296507358551,0.23840556098620017,0.2649214267730713,0.2561094819159286,0.0062667811289429665,0.007277071793200833,0.9088609218597412,0.6695992179864033,0.08696966618299484,0.06777451938742161,1.262816071510315,0.7813620071685726,0.09678592532873154,0.10122732703377667,2.8522965908050537,0.9938090583253493,0.000550592434592545,0.000760291082871728,3.1707589626312256,0.9880525686978906,0.04566344991326332,0.033344194634517224,0.0020926049910485744,0.0027153252959704567,0.41518735885620117,0.3957858151406805,0.013488469645380974,0.0158574997284675,1.038314700126648,0.7289019224504115,1.1495988368988037,0.7716954491149156,0.9186755418777466,0.6980558270881801,2.41424560546875,0.9860975344847914,1.2926448583602905,0.8323015097209899,0.004439694806933403,0.005104811556424461,1.013545274734497,0.730639730639833,3.1857247352600098,0.9956554795266096,2.3552489280700684,0.9632888019986344
Homeostatic MG,MB,2001,2.262127161026001,0.8220889555222308,0.38942205905914307,0.30484757621189157,0.01811026781797409,0.015492253873063463,0.7095339298248291,0.5082458770614646,0.08381589502096176,0.060469765117441406,1.1901662349700928,0.6941529235382242,0.1496121734380722,0.12493753123438227,2.801025629043579,0.9770114942528638,0.0004960224032402039,0.0004997501249375312,2.937253952026367,0.9590204897551129,0.04776575416326523,0.028985507246376847,0.0029108496382832527,0.003498250874562718,0.29977190494537354,0.2648675662168895,0.00926792062819004,0.007496251874062966,0.8811522126197815,0.5912043978010939,1.1731327772140503,0.7216391804097881,0.8084577918052673,0.5777111444277807,2.4710984230041504,0.9635182408795506,1.2008785009384155,0.7301349325337261,0.05360720679163933,0.0374812593703149,0.9024500846862793,0.6176911544227828,3.1395785808563232,0.9835082458770517,1.9936455488204956,0.8710644677661084
MHCII+ MG,Sham,211,0.6157362461090088,0.18009478672985768,0.19085440039634705,0.08530805687203791,0.0,0.0,0.5114091634750366,0.2180094786729856,0.05508247762918472,0.018957345971563982,0.6167498230934143,0.24644549763033152,0.020919933915138245,0.009478672985781991,2.4168219566345215,0.7914691943127986,0.0,0.0,2.697190284729004,0.8199052132701449,0.013301009312272072,0.004739336492890996,0.0,0.0,0.11531087756156921,0.047393364928909956,0.009471287950873375,0.004739336492890996,0.4937606751918793,0.20379146919431262,0.7541328072547913,0.3033175355450234,0.6683512330055237,0.27962085308056844,1.8486824035644531,0.6540284360189583,0.8831331729888916,0.36018957345971525,0.0,0.0,0.564334511756897,0.22274881516587658,2.8746907711029053,0.8625592417061643,1.6429284811019897,0.5876777251184837
MHCII+ MG,MB,1096,3.1825218200683594,0.7828467153284772,0.19537249207496643,0.08485401459854007,0.019747087731957436,0.008211678832116787,0.4216237962245941,0.16879562043795668,0.19693797826766968,0.07664233576642329,0.7591918706893921,0.292883211678833,0.11467929184436798,0.047445255474452525,1.9718097448349,0.6697080291970853,0.002661336911842227,0.0009124087591240876,2.1923699378967285,0.7144160583941676,0.014888671226799488,0.006386861313868612,0.007026190869510174,0.0036496350364963502,0.12124354392290115,0.05109489051094887,0.00447346456348896,0.0018248175182481751,0.3335420787334442,0.13594890510948907,0.6102699637413025,0.2436131386861329,0.48390084505081177,0.1934306569343074,1.6266696453094482,0.5812043795620448,0.5752652883529663,0.226277372262775,0.11511634290218353,0.041970802919708006,0.5016800165176392,0.2007299270073002,2.795492172241211,0.8366788321168007,1.426679015159607,0.5027372262773698
Activated MG (Ccl5+),Sham,111,1.3798973560333252,0.540540540540541,0.14604075253009796,0.08108108108108109,0.0,0.0,0.502234160900116,0.2522522522522522,0.01798909530043602,0.009009009009009009,0.628554105758667,0.2972972972972973,0.10667049139738083,0.05405405405405405,2.019639492034912,0.7477477477477487,0.0,0.0,2.658968210220337,0.8828828828828841,0.028163772076368332,0.018018018018018018,0.03315386921167374,0.018018018018018018,0.1652437448501587,0.09909909909909911,0.0,0.0,0.6470181345939636,0.31531531531531537,0.6771819591522217,0.3333333333333334,0.7951236963272095,0.40540540540540565,1.5890870094299316,0.6396396396396403,0.6943397521972656,0.34234234234234245,0.0,0.0,0.5266969203948975,0.27027027027027023,2.965451240539551,0.9369369369369382,1.596360206604004,0.6486486486486494
Activated MG (Ccl5+),MB,1163,2.9220449924468994,0.7996560619088516,0.1674671620130539,0.0877042132416164,0.02580234780907631,0.012037833190025795,0.3230551481246948,0.15391229578675783,1.4670636653900146,0.485812553740324,0.6224508285522461,0.27773000859845093,0.2818436622619629,0.13069647463456538,1.3524645566940308,0.5184866723989653,0.009988689795136452,0.008598452278589856,1.5385633707046509,0.5657781599312092,0.05745523422956467,0.0240756663800516,0.014585018157958984,0.008598452278589856,0.11117571592330933,0.05932932072227005,0.0029608060140162706,0.0025795356835769563,0.2931737005710602,0.13929492691315518,0.5348763465881348,0.2441960447119507,0.7637810111045837,0.33533963886500257,1.136746883392334,0.4488392089423879,0.3612091541290283,0.17024935511607844,0.15270613133907318,0.06190885640584701,0.42277780175209045,0.19862424763542477,1.924264907836914,0.6543422184006841,1.0012576580047607,0.4067067927772979
DAM-like MG,Sham,137,2.3735737800598145,0.6058394160583936,0.5339085459709167,0.503649635036496,0.012218598276376724,0.014598540145985401,1.2597980499267578,0.8613138686131379,0.21560217440128326,0.13138686131386865,0.9181326627731323,0.6642335766423352,0.20442801713943481,0.24087591240875902,2.546369791030884,0.9854014598540136,0.005755322054028511,0.0072992700729927005,2.796319007873535,0.9854014598540136,0.14068464934825897,0.10948905109489053,0.014769522473216057,0.014598540145985401,0.48519080877304077,0.4671532846715325,0.017172928899526596,0.021897810218978103,0.7451531887054443,0.5912408759124083,0.965750515460968,0.7372262773722621,0.9364831447601318,0.7518248175182475,2.1720025539398193,0.9708029197080282,1.3825428485870361,0.8759124087591232,0.1747267097234726,0.10948905109489053,0.9882994294166565,0.7664233576642329,2.9253642559051514,0.999999999999999,2.6226816177368164,0.9854014598540136
DAM-like MG,MB,1029,4.598929405212402,0.9883381924198367,0.6605628728866577,0.6034985422740511,0.06325671076774597,0.10106899902818287,0.9833430051803589,0.7541302235179823,0.2122434675693512,0.19436345966958277,1.1026124954223633,0.75996112730807,0.2738703787326813,0.31584062196307033,2.6124136447906494,0.9893100097181846,0.0009420913411304355,0.0029154518950437317,2.7741122245788574,0.9747327502429655,0.0428508035838604,0.050534499514091336,0.0057809557765722275,0.013605442176870748,0.4119151830673218,0.45869776482020985,0.007078814320266247,0.012633624878522837,0.5907745361328125,0.5335276967929992,1.1012355089187622,0.7978620019436398,0.9675077795982361,0.7813411078717247,2.4754726886749268,0.9873663751214887,1.3223559856414795,0.8668610301263437,0.39070582389831543,0.2021379980563661,0.9723907113075256,0.7755102040816371,2.8978307247161865,0.9941690962099243,2.4676127433776855,0.9776482021380093
Iron+ MG (Fth1+),Sham,43,2.98146653175354,0.5581395348837208,0.36196643114089966,0.18604651162790697,0.0,0.0,0.5734364986419678,0.25581395348837205,0.410284161567688,0.11627906976744186,0.19051742553710938,0.09302325581395349,0.04024915769696236,0.023255813953488372,2.1700375080108643,0.6976744186046513,0.0,0.0,1.6291602849960327,0.6046511627906976,0.10081438720226288,0.046511627906976744,0.04618293419480324,0.023255813953488372,0.6426204442977905,0.30232558139534876,0.0,0.0,0.12384749948978424,0.046511627906976744,0.1643727421760559,0.09302325581395349,0.5939902067184448,0.2790697674418604,0.893537163734436,0.37209302325581384,0.5383694767951965,0.25581395348837205,0.016464414075016975,0.023255813953488372,0.35535186529159546,0.18604651162790697,1.126084566116333,0.46511627906976727,2.0397088527679443,0.6976744186046513
Iron+ MG (Fth1+),MB,86,5.338263511657715,0.9767441860465128,0.20438112318515778,0.12790697674418602,0.05602933093905449,0.046511627906976744,0.6840022802352905,0.37209302325581406,0.35265985131263733,0.18604651162790692,0.2894664704799652,0.16279069767441856,0.0639076828956604,0.046511627906976744,1.9929265975952148,0.8255813953488381,0.0,0.0,1.5183038711547852,0.6162790697674424,0.06972511112689972,0.03488372093023256,0.0,0.0,0.5062390565872192,0.2906976744186046,0.0,0.0,0.08095746487379074,0.03488372093023256,0.10657625645399094,0.08139534883720931,0.8458907008171082,0.4418604651162793,1.3297903537750244,0.6046511627906982,0.8486150503158569,0.4069767441860467,0.8430092334747314,0.3023255813953488,0.614726185798645,0.313953488372093,1.0248874425888062,0.5000000000000003,2.4456496238708496,0.8372093023255823
Proliferating MG,Sham,132,0.6850796341896057,0.3030303030303028,0.39389553666114807,0.4545454545454542,0.013089842163026333,0.030303030303030304,1.0451347827911377,0.8181818181818176,0.09782479703426361,0.09848484848484845,0.9413110613822937,0.7499999999999994,0.37667331099510193,0.41666666666666635,2.6536614894866943,0.9924242424242417,0.0,0.0,2.801605701446533,0.9924242424242417,0.19063465297222137,0.17424242424242414,0.0,0.0,0.3151569962501526,0.36363636363636337,0.0,0.0,0.6231216192245483,0.5606060606060602,1.2647653818130493,0.8712121212121205,1.170981764793396,0.8787878787878781,2.00557279586792,0.9621212121212114,1.2712758779525757,0.8787878787878781,0.040475234389305115,0.06060606060606061,1.008701205253601,0.8030303030303024,2.921006441116333,0.9848484848484841,2.0523569583892822,0.9393939393939387
Proliferating MG,MB,59,3.060758113861084,0.9322033898305075,0.5342042446136475,0.5254237288135595,0.05734526738524437,0.06779661016949153,0.8984509706497192,0.7288135593220335,0.14874398708343506,0.13559322033898305,0.9633435010910034,0.7627118644067792,0.4662140905857086,0.49152542372881375,2.4993557929992676,0.9661016949152532,0.0,0.0,2.374687433242798,0.881355932203389,0.20863957703113556,0.2203389830508475,0.010319280438125134,0.01694915254237288,0.26067429780960083,0.3898305084745764,0.0,0.0,0.5502200126647949,0.47457627118644086,1.176364541053772,0.8644067796610162,1.0735527276992798,0.7966101694915249,2.102898597717285,0.9322033898305075,0.9672888517379761,0.6949152542372878,0.13394027948379517,0.10169491525423728,0.8101159334182739,0.677966101694915,2.7708382606506348,0.983050847457626,1.806780457496643,0.8474576271186434
BAM,Sham,311,5.179574012756348,0.9999999999999966,0.7851740717887878,0.7331189710610925,0.011217387393116951,0.022508038585209,1.3000590801239014,0.8649517684887439,0.07119996845722198,0.09967845659163985,0.9733168482780457,0.7170418006430862,0.25847944617271423,0.3215434083601289,2.696859359741211,0.9871382636655915,0.0,0.0,2.8718273639678955,0.9742765273311865,0.054784733802080154,0.07395498392282959,0.03125596418976784,0.05144694533762059,0.7654774188995361,0.6784565916398712,0.013527225703001022,0.025723472668810286,1.210278034210205,0.8392282958199339,1.0279432535171509,0.7684887459807063,0.9808948636054993,0.7749196141479088,2.0508124828338623,0.9485530546623765,1.059563159942627,0.7620578778135038,0.007103171199560165,0.012861736334405145,1.018824815750122,0.7974276527331176,2.7398109436035156,0.9453376205787752,1.912390112876892,0.8649517684887439
BAM,MB,312,5.0621337890625,0.9967948717948688,1.1540275812149048,0.7756410256410234,0.05796227604150772,0.07692307692307696,1.1804614067077637,0.7756410256410234,0.14159896969795227,0.13461538461538464,1.2360115051269531,0.7756410256410234,0.3406699597835541,0.33012820512820445,2.327284097671509,0.9487179487179459,0.0009410330094397068,0.003205128205128205,2.4055967330932617,0.9070512820512794,0.08419893682003021,0.05769230769230771,0.04735422506928444,0.06089743589743592,0.211971253156662,0.24679487179487142,0.016138294711709023,0.022435897435897433,1.2938956022262573,0.7884615384615362,1.3096907138824463,0.7756410256410234,0.9098532199859619,0.6826923076923058,2.141227960586548,0.9326923076923049,0.6725675463676453,0.5256410256410243,0.08830329030752182,0.08012820512820516,0.8615589737892151,0.6666666666666649,3.2940895557403564,0.9967948717948688,1.4114611148834229,0.7115384615384596
MHCII+ Mac/APC,MB,585,2.934577465057373,0.8068376068376043,0.3124840259552002,0.18974358974358932,0.02008328214287758,0.02393162393162394,0.3804005980491638,0.2256410256410251,0.623212456703186,0.29059829059828984,0.6659389138221741,0.38632478632478523,0.441171258687973,0.2769230769230762,1.202603816986084,0.5418803418803403,0.0023962256964296103,0.003418803418803419,1.3202990293502808,0.5760683760683744,0.0693916454911232,0.03931623931623933,0.02853352390229702,0.02564102564102565,0.10767018795013428,0.08888888888888882,0.040507420897483826,0.02393162393162394,0.33821433782577515,0.19658119658119613,0.594453752040863,0.358974358974358,0.7252958416938782,0.4205128205128193,1.1817868947982788,0.514529914529913,0.4759010672569275,0.29059829059828984,0.18955479562282562,0.10427350427350415,0.6200255155563354,0.3726495726495716,2.110602378845215,0.7811965811965788,0.7522576451301575,0.35555555555555457
pDC,MB,199,0.6431096196174622,0.3718592964824124,0.02955186925828457,0.020100502512562814,0.0,0.0,0.04795549064874649,0.030150753768844223,0.08109614998102188,0.05025125628140704,0.6427637338638306,0.44221105527638255,0.9866560697555542,0.5477386934673377,0.39544883370399475,0.1959798994974873,0.007572082802653313,0.005025125628140704,0.3579820394515991,0.21105527638190938,0.01244206354022026,0.005025125628140704,0.20559704303741455,0.1909547738693466,0.02235947549343109,0.010050251256281407,0.15006442368030548,0.1457286432160803,0.09836644679307938,0.04522613065326633,0.20256701111793518,0.1407035175879396,0.6815218925476074,0.4673366834170862,0.35439369082450867,0.1708542713567838,0.1544674187898636,0.09045226130653264,0.012728007510304451,0.010050251256281407,0.5166137218475342,0.3919597989949753,1.6799023151397705,0.7537688442211075,0.19354942440986633,0.10552763819095473
T cell,Sham,44,0.7007738947868347,0.3181818181818182,0.2549189031124115,0.3863636363636363,0.005688840989023447,0.022727272727272728,0.516376256942749,0.4772727272727271,0.9258321523666382,0.3181818181818182,0.717442512512207,0.5454545454545453,0.24412702023983002,0.29545454545454547,1.4044697284698486,0.5454545454545453,0.0,0.0,1.7735860347747803,0.6136363636363634,0.0425952784717083,0.045454545454545456,0.15286032855510712,0.13636363636363638,0.2504154443740845,0.3863636363636363,0.012068681418895721,0.045454545454545456,0.5002648234367371,0.49999999999999983,0.851428747177124,0.6363636363636361,1.0590747594833374,0.7727272727272724,1.1954642534255981,0.568181818181818,0.6578956246376038,0.5227272727272726,0.003329908475279808,0.022727272727272728,0.7490779161453247,0.6363636363636361,1.7563225030899048,0.727272727272727,1.2610236406326294,0.568181818181818
T cell,MB,669,3.3400473594665527,0.8863976083706974,0.3860563039779663,0.33931240657698136,0.028014473617076874,0.04185351270553064,0.5957227945327759,0.44843049327354506,1.5496958494186401,0.6636771300448427,0.8798664212226868,0.5724962630792244,0.5576191544532776,0.4349775784753386,1.675550937652588,0.7100149476831078,0.0010267655597999692,0.0014947683109118087,1.920387864112854,0.7294469357249609,0.053693030029535294,0.044843049327354265,0.10928338021039963,0.11210762331838552,0.19787541031837463,0.20627802690582916,0.02078349143266678,0.01943198804185351,0.5017728805541992,0.3931240657698073,0.9652239680290222,0.6233183856502248,1.0900861024856567,0.6786248131539605,1.5513845682144165,0.6905829596412547,0.6742905974388123,0.47234678624813436,0.2892041802406311,0.1778774289985049,0.7896936535835266,0.5530642750373713,2.2126848697662354,0.8116591928251086,1.2824006080627441,0.6382660687593426
gdT cell,MB,82,0.9848090410232544,0.5365853658536588,0.058861181139945984,0.04878048780487805,0.0,0.0,0.055067963898181915,0.06097560975609756,0.04972703754901886,0.06097560975609756,0.11109521239995956,0.08536585365853658,1.2283538579940796,0.7195121951219516,0.2793159484863281,0.15853658536585366,0.0,0.0,0.3452368974685669,0.21951219512195128,0.06865625083446503,0.03658536585365854,0.11977185308933258,0.09756097560975609,0.01637995056807995,0.024390243902439025,0.0,0.0,0.10837788134813309,0.08536585365853658,0.641919732093811,0.4634146341463417,0.4926450252532959,0.37804878048780505,0.42619845271110535,0.32926829268292696,0.1330350637435913,0.09756097560975609,0.026807013899087906,0.024390243902439025,0.4922552704811096,0.37804878048780505,0.4995902180671692,0.2926829268292684,0.2383866012096405,0.15853658536585366
NK cell,Sham,23,0.3092125952243805,0.13043478260869565,0.08744597434997559,0.08695652173913043,0.0,0.0,0.15702833235263824,0.13043478260869565,4.01920223236084,0.9999999999999996,0.5037050247192383,0.3913043478260869,1.0136727094650269,0.6956521739130432,0.20628756284713745,0.08695652173913043,0.0,0.0,0.5029076337814331,0.30434782608695654,0.0,0.0,0.1893966794013977,0.17391304347826086,0.08578228205442429,0.08695652173913043,0.0,0.0,0.11948294937610626,0.08695652173913043,0.4520286023616791,0.3913043478260869,1.734992504119873,0.9130434782608692,0.25660422444343567,0.17391304347826086,0.08578228205442429,0.08695652173913043,0.05675334483385086,0.043478260869565216,0.5292515158653259,0.4347826086956521,0.752322256565094,0.4347826086956521,0.24826869368553162,0.17391304347826086
NK cell,MB,306,1.0155895948410034,0.5653594771241816,0.07266338169574738,0.07843137254901963,0.007317089941352606,0.013071895424836602,0.11356338113546371,0.11111111111111116,2.0000767707824707,0.7189542483660111,0.7297837138175964,0.5588235294117633,0.6843442916870117,0.5457516339869267,0.27486076951026917,0.15359477124183002,0.008367655798792839,0.006535947712418301,0.3661045432090759,0.22549019607843107,0.022178957238793373,0.0196078431372549,0.21714581549167633,0.20915032679738538,0.028448015451431274,0.042483660130718956,0.014844521880149841,0.016339869281045753,0.05960887670516968,0.055555555555555566,0.8360953330993652,0.6013071895424821,1.3692172765731812,0.8039215686274487,0.23203355073928833,0.1339869281045752,0.09465163946151733,0.08496732026143794,0.09945636242628098,0.07516339869281048,0.9701554179191589,0.6601307189542466,0.9776041507720947,0.6045751633986912,0.27452126145362854,0.17973856209150313
B cell,Sham,120,0.6756295561790466,0.40833333333333377,0.0,0.0,0.0,0.0,0.009824000298976898,0.008333333333333333,0.007193569093942642,0.008333333333333333,0.053647615015506744,0.049999999999999996,0.3153687119483948,0.24166666666666664,0.12209787219762802,0.09166666666666666,0.0,0.0,0.13107655942440033,0.10833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024907313287258148,0.025,0.34644633531570435,0.24166666666666664,0.20576772093772888,0.16666666666666666,0.07302553951740265,0.05833333333333333,0.03286568075418472,0.025,0.015090852044522762,0.008333333333333333,0.8039944767951965,0.5250000000000006,0.5634443759918213,0.3833333333333337,0.11087080836296082,0.09166666666666666
B cell,MB,62,1.304932951927185,0.7096774193548382,0.0,0.0,0.007493432145565748,0.016129032258064516,0.01468612253665924,0.016129032258064516,0.02945767156779766,0.04838709677419355,0.009818111546337605,0.016129032258064516,0.41955670714378357,0.33870967741935465,0.08229558169841766,0.0967741935483871,0.0,0.0,0.11122145503759384,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.027117326855659485,0.03225806451612903,0.0,0.0,0.34485241770744324,0.27419354838709664,0.24073562026023865,0.24193548387096764,0.011862586252391338,0.016129032258064516,0.0,0.0,0.0,0.0,0.899246096611023,0.6612903225806447,0.4732559621334076,0.38709677419354815,0.04309699311852455,0.04838709677419355
