source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
BAM,DAM-like MG,Apoe,Trem2,3.9011278,0.0,13.584373,1.9085148237615432,2.770145784932234,0.043896563,0.9599831,0.0027609997879886423,1.730340578660427e-08,Retina,Sham
BAM,Homeostatic MG,Apoe,Trem2,3.7674115,0.0,12.199186,1.7376680210697666,2.7288138680582827,0.039420467,0.9578654,0.0027609997879886423,6.921159982951353e-08,Retina,Sham
BAM,Proliferating MG,Apoe,Trem2,3.6159654,0.0,10.630335,1.5441719608243656,2.3663463083537417,0.03435088,0.9549983,0.0027609997879886423,1.557215557662384e-07,Retina,Sham
BAM,Iron+ MG (Fth1+),Apoe,Trem2,3.6096416,0.0,10.564823,1.5360917246173251,2.7180965860445214,0.034139182,0.9548653,0.0027609997879886423,2.7683021278282573e-07,Retina,Sham
BAM,BAM,Apoe,Trem2,3.5459821,0.0,9.905366,1.4547562218073575,2.334634201175306,0.032008212,0.95345587,0.0027609997879886423,4.325345473890009e-07,Retina,Sham
BAM,MHCII+ MG,Apoe,Trem2,3.4112513,0.0,8.509669,1.2826150868996313,2.501096567563,0.027498158,0.9499675,0.0027609997879886423,6.228315935040253e-07,Retina,Sham
BAM,Activated MG (Ccl5+),Apoe,Trem2,3.387967,0.0,8.268466,1.252865739233246,2.342572477970081,0.026718732,0.9492797,0.0027609997879886423,8.477181094717147e-07,Retina,Sham
BAM,Neutrophil,Apoe,Trem2,3.3645275,0.0,8.02565,1.2229173898583254,2.1979906512929364,0.025934098,0.9485574,0.0027609997879886423,1.107191358849476e-06,Retina,Sham
BAM,DAM-like MG,Apoe,Lrp1,3.2810583,0.0,7.160983,1.7771909863920865,2.6240518547421123,0.043592114,0.9457039,0.0027609997879886423,2.093100078385222e-06,Retina,Sham
BAM,Neutrophil,Apoe,Lrp1,3.2564993,0.0,6.906572,1.7446006165637356,2.543320729095912,0.0420434,0.94476765,0.0027609997879886423,2.923249420511572e-06,Retina,Sham
BAM,Homeostatic MG,Apoe,Lrp1,3.2361095,0.0,6.6953497,1.7175432819747853,2.675959324299888,0.040757596,0.94395167,0.0027609997879886423,3.390178440262972e-06,Retina,Sham
BAM,Proliferating MG,Apoe,Lrp1,3.225425,0.0,6.5846677,1.703364288240883,2.496708532961665,0.040083826,0.94350904,0.0027609997879886423,3.891672810799418e-06,Retina,Sham
BAM,T cell,Apoe,Trem2,3.2202988,0.0,6.531565,1.0386411802044562,2.0577342591740315,0.021106109,0.94329286,0.006259731350047011,4.427729497143286e-06,Retina,Sham
BAM,BAM,Apoe,Abca1,3.21709,0.0,6.498324,2.1185185476883,3.035742474731455,0.0674015,0.94315624,0.001503323649562024,5.603516851051597e-06,Retina,Sham
BAM,BAM,Apoe,Lrp1,3.1195686,0.0,5.4880857,1.5628913447921668,2.3719462751559686,0.03340844,0.9384537,0.0027609997879886423,1.8825780534728905e-05,Retina,Sham
NK cell,NK cell,Lgals1,Ptprc,2.820715,0.0,7.6245427,5.646779723051051,2.750086967338282,0.07686788,0.947292,0.0004865962566633399,2.4959090986971988e-05,Retina,Sham
Iron+ MG (Fth1+),DAM-like MG,Apoe,Trem2,2.802074,0.0,7.8194375,1.093675787397599,2.274931198275473,0.025267739,0.9479186,0.0027609997879886423,3.0486623973889077e-05,Retina,Sham
BAM,B cell,Apoe,Sorl1,3.066357,0.0,4.9368577,2.4323566393184555,3.185214054424784,0.058925726,0.9353249,0.0025562256958650002,3.817181933804107e-05,Retina,Sham
Iron+ MG (Fth1+),DAM-like MG,C1qb,Lrp1,2.7341857,0.0,5.6488333,0.5445183255908782,0.6539510969472284,0.021011695,0.9392822,0.006517542184401451,4.3196548953820576e-05,Retina,Sham
BAM,B cell,App,Cd74,2.8222702,0.0,4.8489037,2.4546334102389538,2.670336526648936,0.060248055,0.9347791,0.0022945312732854787,4.671864801053187e-05,Retina,Sham
BAM,BAM,Apoe,Lrp6,3.0453477,0.0,4.7192197,2.0255266911757737,2.852361291962576,0.060959313,0.9339478,0.0021732730756830695,6.855274646791002e-05,Retina,Sham
Iron+ MG (Fth1+),Neutrophil,C1qb,Lrp1,2.7096267,0.0,5.448145,0.5119279557625273,0.5732199713010286,0.020265205,0.9382424,0.008181453488894716,6.855274646791002e-05,Retina,Sham
BAM,MHCII+ MG,Apoe,Lrp1,3.0313535,0.0,4.5742536,1.4458286550189774,2.6567989691122755,0.027845534,0.9329789,0.0027609997879886423,8.704797112412428e-05,Retina,Sham
Iron+ MG (Fth1+),Homeostatic MG,C1qb,Lrp1,2.6892369,0.0,5.2815256,0.48487062117357704,0.7058585665050046,0.01964544,0.9373364,0.009878378871552308,9.455124544247663e-05,Retina,Sham
Iron+ MG (Fth1+),Proliferating MG,C1qb,Lrp1,2.6785524,0.0,5.194216,0.4706916274396749,0.5266077751667815,0.019320676,0.93684506,0.01111378684101719,9.97253405129374e-05,Retina,Sham
Iron+ MG (Fth1+),Homeostatic MG,Apoe,Trem2,2.6683578,0.0,7.0220957,0.9228289847058225,2.2335992814015215,0.022691209,0.9451989,0.004149831758093618,0.00010503695823188729,Retina,Sham
NK cell,Homeostatic MG,Ccl5,Ccr5,2.641009,0.0,5.0755134,4.43618824928107,3.170636597019427,0.11108042,0.9361577,6.167343467579342e-05,0.00011607259380290832,Retina,Sham
BAM,NK cell,Mrc1,Ptprc,2.5552282,0.0,5.8209233,3.1374191864406415,2.6415997701367293,0.088371634,0.94013226,0.0003074145012514001,0.00014925464912780137,Retina,Sham
Neutrophil,DAM-like MG,Apoe,Trem2,2.5515652,0.0,6.5054264,0.9079482550681193,0.675637419920633,0.021021644,0.9431855,0.006489140256113739,0.00015573409445417282,Retina,Sham
DAM-like MG,DAM-like MG,C1qb,Lrp1,2.5503483,0.0,5.1405063,0.3105548901808904,0.32166389725823286,0.019120898,0.93653685,0.01197846605309075,0.0001623508529856268,Retina,Sham
DAM-like MG,Neutrophil,C1qb,Lrp1,2.525789,0.0,4.9578776,0.27796452035253943,0.24093277161203308,0.018441582,0.9354533,0.014972278963156636,0.00017599603650805286,Retina,Sham
Iron+ MG (Fth1+),Proliferating MG,Apoe,Trem2,2.5169117,0.0,6.119034,0.7293329244604215,1.8711317216969805,0.019773053,0.9415225,0.009457798430404988,0.0001830244477095423,Retina,Sham
Iron+ MG (Fth1+),BAM,C1qb,Lrp1,2.572696,0.0,4.3291936,0.33021868399095855,0.401845517361085,0.016103094,0.93123674,0.037595993165165584,0.00019019003949825023,Retina,Sham
Iron+ MG (Fth1+),Iron+ MG (Fth1+),Apoe,Trem2,2.5105877,0.0,6.0813236,0.7212526882533811,2.22288199938776,0.019651197,0.94135207,0.009862843779024102,0.00019019003949825023,Retina,Sham
DAM-like MG,Homeostatic MG,C1qb,Lrp1,2.5053992,0.0,4.806252,0.2509071857635892,0.373571366816009,0.017877586,0.9345092,0.01874509573345752,0.00019382430930256814,Retina,Sham
DAM-like MG,DAM-like MG,Apoe,Trem2,2.4981277,0.0,6.225128,0.8683298958631036,1.563742996772635,0.020115888,0.9419939,0.00861490649267299,0.00019749282673572086,Retina,Sham
DAM-like MG,Proliferating MG,C1qb,Lrp1,2.4947147,0.0,4.726799,0.23672819202968706,0.19432057547778592,0.01758205,0.9339973,0.02126288790486454,0.0002049327075877916,Retina,Sham
DAM-like MG,B cell,App,Cd74,2.7614715,0.0,4.2910686,2.368241038821124,2.5901611908331903,0.053316902,0.930953,0.0027609997879886423,0.00022022376825595917,Retina,Sham
Iron+ MG (Fth1+),BAM,Apoe,Trem2,2.4469283,0.0,5.701727,0.6399171854434134,1.8394196145185446,0.018424567,0.93954736,0.015132166615853584,0.0002241322030032075,Retina,Sham
NK cell,T cell,Lgals1,Ptprc,2.4406178,0.0,5.9181986,5.101398776325442,2.225394596368756,0.059665136,0.940597,0.0021848672561996436,0.00023205189716589373,Retina,Sham
Iron+ MG (Fth1+),Homeostatic MG,Gnai2,P2ry12,2.4342475,0.0,5.8761463,0.4970610140924635,1.0709843193264503,0.019216744,0.94039744,0.01157065060276019,0.00023606310845847533,Retina,Sham
Neutrophil,Homeostatic MG,Gnai2,P2ry12,2.4281769,0.0,5.843892,0.4887116344860113,0.7077092668702543,0.019111263,0.940243,0.01201443064721252,0.0002401085724082796,Retina,Sham
NK cell,Neutrophil,Lgals1,Ptprc,2.4196534,0.0,5.8240848,5.071318181507626,2.2625771958987384,0.058716316,0.9401476,0.0019910616215455864,0.0002441882859803411,Retina,Sham
Neutrophil,Homeostatic MG,Apoe,Trem2,2.4178486,0.0,5.8420734,0.7371014523763426,0.634305503046682,0.018878086,0.94023424,0.012835797806407742,0.0002483022461396942,Retina,Sham
Homeostatic MG,DAM-like MG,C1qb,Lrp1,2.4051974,0.0,4.739152,0.1258389089063167,0.15361527927685947,0.017627997,0.9340777,0.05512608354356235,0.0002524504498513733,Retina,Sham
BAM,DAM-like MG,C1qb,Lrp1,2.4005752,0.01,4.7263713,0.11994495866600074,0.08111454497598802,0.017580457,0.93399453,0.09319107628498531,0.00025663289408041297,Retina,Sham
Proliferating MG,DAM-like MG,C1qb,Lrp1,2.3828287,0.07,4.677301,0.0973587828182682,0.05809175442023595,0.017397933,0.9336721,0.12758840234081675,0.0002737050615238736,Retina,Sham
BAM,DAM-like MG,Apoe,Abca1,2.9865181,0.0,4.109796,1.8143586850342797,2.6606061143192603,0.042627368,0.9295528,0.0027609997879886423,0.00027805866317868604,Retina,Sham
Homeostatic MG,Neutrophil,C1qb,Lrp1,2.3806384,0.08,4.570782,0.09324853907796574,0.0728841536306597,0.01700172,0.9329552,0.11525527892992839,0.00027805866317868604,Retina,Sham
BAM,Neutrophil,C1qb,Lrp1,2.3760161,0.14,4.5584555,0.0873545888376498,0.0003834193297882482,0.01695587,0.9328707,0.26205089654061375,0.00028244648714103346,Retina,Sham
Iron+ MG (Fth1+),NK cell,B2m,Klrd1,2.3734694,0.0,5.554105,8.370340348528002,2.2406083666079746,0.09969969,0.9387981,0.00014052301226406838,0.00028686853037595053,Retina,Sham
NK cell,B cell,Lgals1,Ptprc,2.3733954,0.0,5.616422,5.004945016331928,2.104393834197097,0.056622736,0.93911785,0.0027609997879886423,0.0002913247898484717,Retina,Sham
DAM-like MG,Homeostatic MG,Apoe,Trem2,2.3644114,0.0,5.5903573,0.6974830931713271,1.522411079898684,0.018064687,0.93898475,0.017400607364063448,0.00030489883534200375,Retina,Sham
Homeostatic MG,Homeostatic MG,C1qb,Lrp1,2.3602483,0.0,4.430995,0.06619120448901555,0.20552274883463562,0.01648176,0.9319772,0.10574488318148918,0.00030949192941528563,Retina,Sham
Proliferating MG,Neutrophil,C1qb,Lrp1,2.3582697,0.15,4.5111284,0.06476841298991724,-0.022639371225963822,0.016779829,0.93254316,0.3444243911692579,0.0003141192245513439,Retina,Sham
