axis,tissue,condition,source,target,lr_means,magnitude_rank,specificity_rank
Spp1|Cd44,Retina,Sham,DAM-like MG,Homeostatic MG,0.13575631,0.3154028781064477,0.2282945353066473
Spp1|Cd44,Retina,Sham,DAM-like MG,NK cell,0.5941997,0.563641453973348,0.0019185089209808
Spp1|Cd44,Retina,Sham,DAM-like MG,Neutrophil,0.93385077,0.565845026027519,0.0003381649090451
Spp1|Cd44,Retina,Sham,DAM-like MG,DAM-like MG,0.18957737,0.8449363923527329,0.0027609997879886
Spp1|Cd44,Retina,Sham,DAM-like MG,Proliferating MG,0.2757,1.0,0.0027609997879886
Spp1|Cd44,Retina,Sham,DAM-like MG,T cell,0.20942686,1.0,0.0027609997879886
Spp1|Cd44,Retina,Sham,DAM-like MG,BAM,0.21660307,1.0,0.0027609997879886
Spp1|Cd44,Retina,Sham,DAM-like MG,B cell,0.24504772,1.0,0.0027609997879886
Spp1|Cd44,Retina,MB,Iron+ MG (Fth1+),gdT cell,1.0356815,0.179338821997511,0.0004749352841426
Spp1|Cd44,Retina,MB,Iron+ MG (Fth1+),Neutrophil,0.97474194,0.2369793558933821,0.0008232505349592
Spp1|Cd44,Retina,MB,Proliferating MG,Homeostatic MG,0.14177623,0.272642793439615,1.0
Spp1|Cd44,Retina,MB,Neutrophil,gdT cell,0.9231545,0.3038965201589036,0.0022268671886658
Spp1|Cd44,Retina,MB,Iron+ MG (Fth1+),pDC,0.91483265,0.3146950358607345,0.0014905837614855
Spp1|Cd44,Retina,MB,MHCII+ Mac/APC,pDC,0.58810544,0.3853212025452272,0.0820019176822026
Spp1|Cd44,Retina,MB,Neutrophil,Neutrophil,0.86221486,0.406662810842672,0.0033598965096163
Spp1|Cd44,Retina,MB,MHCII+ Mac/APC,Neutrophil,0.6480147,0.4458604590690675,0.042456381857731
Spp1|Cd44,Retina,MB,Proliferating MG,gdT cell,0.6811471,0.4805633566076803,0.1595689507300115
Spp1|Cd44,Retina,MB,T cell,NK cell,0.48677424,0.4839943746104794,0.1086774853339706
Spp1|Cd44,Retina,MB,Neutrophil,BAM,0.47931254,0.5039854039650037,0.0415723358424949
Spp1|Cd44,Retina,MB,DAM-like MG,gdT cell,0.80952984,0.5161607772718635,0.0128099878321781
Spp1|Cd44,Retina,MB,DAM-like MG,T cell,0.4741625,0.520530886800737,0.0342112480436324
Spp1|Cd44,Retina,MB,MHCII+ Mac/APC,Homeostatic MG,0.16958348,0.5242885917490929,1.0
Spp1|Cd44,Retina,MB,Iron+ MG (Fth1+),DAM-like MG,0.5584398,0.5263520576145161,0.0238566047387164
Spp1|Cd44,Retina,MB,Neutrophil,pDC,0.8023056,0.5324411093190393,0.0051986713830376
Spp1|Cd44,Retina,MB,MHCII+ Mac/APC,gdT cell,0.70895433,0.5331351443214101,0.0227121777392211
Spp1|Cd44,Retina,MB,Iron+ MG (Fth1+),Activated MG (Ccl5+),0.56242645,0.5506148969159561,0.0197670153698206
