compound,reversal_score,DAM_up,IFN_up,Chemokine_up,Homeo_down
AS-601245,15.622064622440115,0.0012389650052184,4.159398858658571e-14,0.0709473774154047,0.0810779587216714
TPCA-1,12.433616160356568,0.0301048312075603,1.3014886320934398e-12,0.0175891225490271,
BI-2536,11.882811950741242,0.0406279568012118,2.0148187444787363e-10,0.0076750018140839,0.0905548033415685
AZD-8055,11.517643091525038,0.0233792564221558,3.668648048839e-10,0.0709473774154047,0.0381217033329632
BMS-387032,11.499344209870362,0.0008307585236079,3.356864340901735e-08,0.017964001181879,0.0905548033415685
radicicol,11.424478099469997,0.0005312648200319,2.950951418647561e-07,0.0044326366036425,0.0905548033415685
crizotinib,11.4060082733561,0.0269686263415016,6.469453497304343e-10,0.0157365369410499,0.0905548033415685
SB590885,11.36232977984745,0.0038485442258617,3.356864340901735e-08,0.0044325768573478,0.0820921606209938
geldanamycin,11.184104530537805,0.0005312648200319,1.9081474282408226e-06,0.0013692388814836,0.0905548033415685
buparlisib,10.975104003378798,0.0179232489464157,1.8726406405522926e-09,0.0350956853067158,0.0826632968846378
withaferin-a,10.929809019592131,0.0250707882950337,5.722171724832198e-09,0.0076750018140839,0.0905548033415685
tivantinib,10.785647646408268,0.0262755007486298,4.391019279342166e-11,0.0709473774154047,
CGP-60474,9.946326415645405,0.003873083979309,0.0001858314988916,4.137729956767442e-05,0.0905548033415685
QL-XII-47,9.853611679578325,0.0005312648200319,4.916788728598286e-06,0.028089015832972,0.0810779587216714
PI-103,9.78384888703885,0.0267524370582538,1.8081210331056134e-07,0.0178768844368708,0.0381217033329632
HG-5-88-01,9.715735197101314,0.0250707882950337,2.038427668818694e-08,0.0709473774154047,0.0905548033415685
KIN001-043,9.195975308916896,0.0041233440668725,1.8917933855052426e-05,0.0032580356131935,0.0905548033415685
torin-2,8.870329514477358,0.0211739086112267,1.616433990612439e-06,0.0125932978470053,0.0905548033415685
A443654,8.790825700860813,0.0262755007486298,5.663016327973445e-05,0.0005839695836438,0.0594391875894865
CHIR-99021,8.713999780794689,0.0046177387093999,8.132105195680018e-06,0.0263403309594449,0.0905548033415685
dasatinib,8.447358539970223,0.0030028160755195,0.0003978038289559,0.0022808327655737,0.0810779587216714
XMD-1150,8.399561570052548,0.0262755007486298,4.747980686522526e-06,0.0126899811592491,0.0905548033415685
GSK-2126458,8.291089073962107,0.0233199345962955,3.0193106776486817e-06,0.0316542720043838,0.0905548033415685
AZD-5438,8.241546404069858,0.0301048312075603,1.1290054496543612e-06,0.0709473774154047,0.0905548033415685
WH-4-025,8.1650738165273,0.0250707882950337,7.420831346006987e-06,0.0169085285917282,0.0905548033415685
CYT387,7.92779579821317,0.0050679132508407,0.0001113909669755,0.0164524071350269,0.0905548033415685
JWE-035,7.918860673784575,0.0593517107463419,3.1674597427883624e-06,0.0013611986258435,
THZ-2-98-01,7.882065615755889,9.56994518351451e-05,0.0041866433612614,0.0709473774154047,0.0909458912568049
