gene,rho,abs_rho
Hexb,-0.308736670204781,0.308736670204781
Cst3,-0.28091362990412916,0.28091362990412916
Ifi207,0.24788015636400876,0.24788015636400876
Cx3cr1,-0.2347621468257,0.2347621468257
Lgals3,0.2319561794506127,0.2319561794506127
Insyn2b,0.21888409663812394,0.21888409663812394
mt-Co3,0.21756125547862723,0.21756125547862723
Lilrb4a,0.21181188828783504,0.21181188828783504
mt-Cytb,0.21132172759773618,0.21132172759773618
Slfn5,0.20998219339949376,0.20998219339949376
mt-Nd5,0.2094003994117002,0.2094003994117002
mt-Nd4,0.2089021573858154,0.2089021573858154
Cybb,0.20821803184161505,0.20821803184161505
A930037H05Rik,0.2069512028337669,0.2069512028337669
Ifit3,0.2066237779246677,0.2066237779246677
Ifi211,0.20563058260903022,0.20563058260903022
Oasl2,0.20482260098284608,0.20482260098284608
Ifi213,0.20235858409726926,0.20235858409726926
Tmem119,-0.20214003610910414,0.20214003610910414
mt-Nd1,0.2017192103248557,0.2017192103248557
mt-Co2,0.20081882476472834,0.20081882476472834
P2ry12,-0.20042711151963993,0.20042711151963993
Ifit2,0.19923577805139772,0.19923577805139772
mt-Nd2,0.19800398247512693,0.19800398247512693
Gm26917,0.1978276306002545,0.1978276306002545
mt-Atp6,0.19505310508251228,0.19505310508251228
Gpr34,-0.19432497958021755,0.19432497958021755
mt-Co1,0.19395356952058415,0.19395356952058415
Usp18,0.1932637261341106,0.1932637261341106
Ifi204,0.193137751007861,0.193137751007861
AY036118,0.190687869617688,0.190687869617688
Ifit3b,0.1900683540509653,0.1900683540509653
Gm15283,0.189492814043141,0.189492814043141
Tsix,0.18590339324409014,0.18590339324409014
Irf7,0.18523913326232652,0.18523913326232652
Myo5a,0.1841047197661903,0.1841047197661903
Ifi206,0.1835073143330661,0.1835073143330661
Rsad2,0.18120162406971893,0.18120162406971893
Olfml3,-0.1808755006678865,0.1808755006678865
Rnf213,0.18040632250845065,0.18040632250845065
Abca1,0.17984712461243826,0.17984712461243826
Igf1,0.1786518167888801,0.1786518167888801
Axl,0.17815560117937743,0.17815560117937743
Ifitm3,0.17666329377760226,0.17666329377760226
Isg15,0.17630047238588198,0.17630047238588198
Csf1,0.17624078292766274,0.17624078292766274
Stat1,0.1761437526600108,0.1761437526600108
Nlrc5,0.1761306552522661,0.1761306552522661
