,log2fc,p,fdr
2610044O15Rik8,0.65744472491243,0.5367622349832183,0.8130490842099425
2810047C21Rik1,2.369399986267487,0.010765208360034037,0.7517629275291794
9930111J21Rik1,-0.2091362762845286,0.7542157636545929,0.9052645511230502
9930111J21Rik2,-0.43965369989540715,0.553643669721181,0.8228508650258408
a,-1.3119639991084118,0.8574748736970073,0.9463446566283829
A1bg,-2.4114019083464773,0.5109729039501305,0.8039019714740654
A1cf,2.0702318822786943,0.0260021001816041,0.7517629275291794
A2m,-1.4579629806200987,0.7931216389538053,0.9210159146011718
A2ml1,1.0636862632034492,0.735403872290983,0.8977300964634666
A3galt2,2.3221096259743,0.6518000328392105,0.8626670903234047
A4galt,-4.503503945453137,0.19156483532741292,0.7517629275291794
AA386476,1.6786245262917074,0.10487164956270235,0.7517629275291794
AA388235,-0.206414335666305,0.9306622055391478,0.9765323449659585
AA413626,0.05275371698341374,0.6873934862241335,0.8776479592035568
AA414768,1.9689575220855475,0.7545019325767095,0.9052645511230502
AA465934,-0.013040338137208833,0.9702965935359199,0.9891986614051163
AA467197,2.549794485954361,0.13209419973448183,0.7517629275291794
AA543186,4.3015010672468925,0.12644500344354667,0.7517629275291794
AA986860,-2.267540913112643,0.14803027204481556,0.7517629275291794
Aaas,-0.46875370165894725,0.37813874836666617,0.7637747757727058
Aacs,0.23122318357568517,0.8537955686666602,0.9452159139858785
Aagab,0.17517227315086248,0.7534702310107839,0.9052645511230502
Aak1,-0.6108487218475647,0.30623070032443367,0.7637747757727058
Aamdc,0.5584448620784379,0.31649200790203896,0.7637747757727058
Aamp,0.4290160821263954,0.5832986135387734,0.8334759127543835
Aanat,3.296074003356807,0.3281690558152466,0.7637747757727058
Aar2,-0.31015020910297075,0.416542875101325,0.7637747757727058
Aars,-0.20477772061330046,0.2578878817583766,0.7586323021372235
Aars2,-0.9600173334133945,0.2902983239578333,0.7637747757727058
Aarsd1,-0.1315162304186394,0.622862637324088,0.8510220206263752
Aasdh,0.34445161246996947,0.7381840004592565,0.8986592357405665
Aasdhppt,-0.1382723966995009,0.666857916089586,0.8689883955745356
Aass,-1.3367511080579135,0.8341788363316007,0.9369341898325082
Aatf,0.6074371736247267,0.1785004862354049,0.7517629275291794
Aatk,-1.34042265032817,0.14543550025185525,0.7517629275291794
AB010352,-0.7202892466710824,0.27289856994098827,0.7637747757727058
AB124611,0.7393754486754908,0.33711687584787975,0.7637747757727058
Abat,-1.7759517684792103,0.05634042359632483,0.7517629275291794
Abca1,1.1997349088222407,0.07871428639952964,0.7517629275291794
Abca13,-3.8037416421329127,0.008301323863347998,0.7517629275291794
Abca14,1.3392065269960503,0.3510833364488975,0.7637747757727058
Abca15,-2.3635274222452805,0.42264973081037427,0.7637747757727058
Abca17,-0.8556629834239268,0.8674552064446109,0.9514927665996097
Abca2,-0.7662545507375437,0.27224629773162135,0.7632502834829473
Abca3,0.4789756074395856,0.9186128455300884,0.9715629365293025
Abca4,-2.050294411969023,0.20616429078812126,0.7517629275291794
Abca5,-1.4015039882716687,0.09049344610370379,0.7517629275291794
