tissue,state,log2fc,p
Retina,MG-Homeo-1,-0.768701619027711,0.6823100501898197
Retina,MG-Homeo-2,-0.6932293241334477,0.5928435694767369
Retina,MG-Homeo-3,-2.8989535386223984,0.17159169835960916
Retina,MG-Homeo-4,-0.046083191961735714,0.9618182701975297
Retina,MG-Homeo-5,4.06307391310723,0.007965012364293242
Retina,MG-Homeo-6,-0.95019457135961,0.72160144195721
Retina,MG-Homeo-7,2.340372770054183,0.1380174129402364
Retina,MG-Homeo-8,1.4098362026708187,0.12477904099535997
Retina,MG-DAM,2.572217489068832,0.0289137886940064
Retina,MG-IFN,-0.7593696273907433,0.39474221703989015
Retina,MG-MHCII+,1.8445509448548236,0.12054796569917034
Retina,MG-Prolif,0.10588356434282176,0.7609440466369068
OpticNerve,MG-Homeo-1,0.13209144572116305,0.9044447241932001
OpticNerve,MG-Homeo-2,0.04954247105048193,0.9667844763654565
OpticNerve,MG-Homeo-3,-1.0207968588826466,0.5621733051505149
OpticNerve,MG-Homeo-4,-0.08492014844805307,0.9229880811084964
OpticNerve,MG-Homeo-5,0.40701335763213997,0.8329413570621497
OpticNerve,MG-Homeo-6,0.2885427925600279,0.8927678595823256
OpticNerve,MG-Homeo-7,0.9541278379856681,0.06659227468305522
OpticNerve,MG-Homeo-8,-0.17048588610425464,0.7621376525955078
OpticNerve,MG-DAM,1.2911664708647166,0.05169653376102557
OpticNerve,MG-IFN,0.5671683384883659,0.031706274571499396
OpticNerve,MG-MHCII+,-1.1654903963882273,0.4885909247745331
OpticNerve,MG-Prolif,0.32223330539948414,0.5414284347520483
