sample,tissue,condition,cells_raw,cells_qc,cells_final,upper_ngenes,scrublet_rate
GSM8880855,OpticNerve,Sham,3375,3316,3316,5230.308999999999,0.0
GSM8880856,OpticNerve,MB,2086,2055,2055,6114.33,0.0
GSM8880857,Retina,Sham,2059,1979,1979,5784.745,0.0
GSM8880858,Retina,MB,2680,2662,2662,9557.150999999998,0.0
GSM8880859,Retina,MB,1453,1417,1417,9880.024,0.0
GSM8880860,Retina,Sham,2367,2282,2282,5569.548,0.0
GSM8880861,OpticNerve,MB,1081,1072,1072,8177.907,0.0
GSM8880862,OpticNerve,Sham,618,615,615,7869.883999999999,0.0
GSM8880863,OpticNerve,Sham,1654,1638,1638,7171.565,0.0
GSM8880864,OpticNerve,MB,2570,2544,2544,6814.6404999999995,0.0
GSM8880865,Retina,Sham,4096,3980,3980,5443.9839999999995,0.0
GSM8880866,Retina,MB,5316,5131,5131,6788.794,0.0
GSM8880867,Retina,Sham,2989,2917,2917,8949.094,0.0
