Module,Genes (mouse symbols)
Homeostatic_MG,"P2ry12, Tmem119, Cx3cr1, Sall1, Siglech, Hexb, Fcrls, Olfml3, Gpr34, P2ry13"
DAM_MG,"Apoe, Spp1, Lgals3, Cst7, Trem2, Tyrobp, Gpnmb, Itgax, Cd9, Ctsb, Ctsd, Csf1"
MHCII,"Cd74, H2-Aa, H2-Ab1, H2-Eb1, Ciita"
IFN_module,"Ifit3, Isg15, Usp18, Ifit1, Oasl2, Irf7, Stat1"
Chemokine,"Ccl5, Ccl3, Ccl4, Cxcl10, Ccl2, Ccl12"
Iron+ MG,"Fth1, Ftl1, Ltf, Hmox1, Slc40a1"
Proliferating,"Mki67, Top2a, Birc5, Cdk1"
Ribosomal,"Rpl3, Rplp0, Rps3, Rps18, Rps27"
T_NK_infil,"Cd3e, Cd3g, Trbc1, Trbc2, Nkg7, Gzma, Klrb1c"
Neutrophil,"S100a8, S100a9, Ly6g, Mmp9, Cxcr2, Mpo"
Pan_reactive,"Gfap, Vim, Serpina3n, Timp1, Osmr, Cd44"
A1_neurotoxic,"H2-D1, Gbp2, Serping1, C3, Fbln5, Amigo2, Psmb8"
A2_neuroprotective,"S100a10, Tgm1, Ptx3, Emp1, Clcf1"
Complement,"C1qa, C1qb, C1qc, C3, C4b"
