,Homeostatic MG,MHCII+ MG,Activated MG (Ccl5+),DAM-like MG,Iron+ MG (Fth1+),Proliferating MG,BAM,MHCII+ Mac/APC,pDC,T cell,gdT cell,NK cell,B cell,Neutrophil
P2ry12,2.512,1.7118,1.1231,1.8854,0.9732,2.1545,1.7099,0.8173,0.5045,1.3087,0.1552,0.2121,0.0789,1.2917
Tmem119,1.8159,0.9928,0.6342,1.382,0.8291,1.6913,1.0472,0.4751,0.074,0.8922,0.1488,0.1522,0.0532,0.8702
Sall1,1.0404,0.4584,0.2724,0.8162,0.2646,0.8992,0.4287,0.2323,0.0211,0.4234,0.0618,0.0807,0.0211,0.3888
H2-Aa,0.0159,0.453,0.8182,0.0783,0.3628,0.1366,2.2461,2.7982,2.0606,1.0276,0.0997,0.1188,3.0972,1.5175
H2-Ab1,0.1035,0.4951,0.7515,0.1707,0.4321,0.2314,2.3212,2.896,1.9963,1.0965,0.1499,0.1256,3.0363,1.6243
Ccl5,0.0592,0.1431,1.3387,0.1449,0.2258,0.0872,0.1016,0.5959,0.0811,1.549,0.0689,2.1556,0.0199,0.6201
Apoe,1.3696,2.7164,2.7857,4.3324,4.2999,1.52,5.031,2.8324,0.6431,2.9896,1.0167,0.9288,0.8926,3.5777
Cd63,0.9813,0.7838,0.7658,2.0616,2.5152,0.7719,1.337,0.8489,0.1642,0.9176,0.1801,0.2771,0.0298,1.2782
Ctsb,2.0583,1.5698,1.3724,2.9123,3.179,2.0117,2.2356,1.3658,1.9386,1.6176,0.5989,0.5237,0.1931,2.0932
Ctsd,3.1981,2.8422,2.2431,3.8844,4.1389,2.8614,2.3972,1.8455,0.7948,2.3379,0.9997,1.4733,0.2558,2.6966
Fth1,2.6639,2.5633,2.5736,3.4561,4.8806,2.968,3.22,3.1906,3.7058,2.7358,2.3986,2.1255,2.7323,3.6066
Ftl1,1.8608,1.5596,1.701,2.6334,3.9628,1.9698,2.3028,2.0932,1.7771,1.9949,1.4278,1.2546,1.7806,2.6874
Mki67,0.0397,0.0311,0.0614,0.0308,0.0377,1.727,0.0653,0.1058,0.0369,0.1034,0.0206,0.0748,0.0321,0.1973
Top2a,0.0052,0.0074,0.03,0.0136,0.0512,1.4884,0.0308,0.0282,0.0223,0.0888,0.0775,0.0862,0.0653,0.1447
Mrc1,0.0081,0.029,0.039,0.018,0.1286,0.0278,1.3694,0.0837,0.0139,0.1148,0.0255,0.0265,0.0102,0.1137
Ms4a7,0.0066,0.0886,0.1346,0.1721,0.4725,0.0421,1.4833,0.5086,0.0304,0.3547,0.0597,0.0448,0.0132,0.3928
Cd74,0.3905,0.877,1.5747,0.6466,0.9731,0.5421,3.2198,3.9538,3.5667,1.6416,0.2494,0.2435,4.5488,2.4259
H2-Eb1,0.0154,0.4286,0.7448,0.0691,0.3631,0.1203,2.2552,2.8132,1.5464,1.019,0.0966,0.1124,2.994,1.5417
Tcf4,1.4349,0.8321,0.7776,1.4853,0.2849,1.5042,1.6978,1.1518,3.3147,0.9466,0.1935,0.5943,1.0424,1.0425
Bst2,0.5897,0.3431,0.3502,0.8412,1.1467,0.9375,1.2299,0.7658,2.824,0.6254,0.3797,0.3121,0.1935,0.5701
Cd3e,0.0007,0.0114,0.2299,0.0051,0.0,0.0011,0.0003,0.0438,0.0058,0.7232,1.6277,0.2412,0.0123,0.0805
Cd8a,0.0005,0.0089,0.0611,0.001,0.0,0.0014,0.0,0.0427,0.4247,0.3002,0.0236,0.1047,0.0,0.0294
Trdc,0.0004,0.0016,0.0331,0.0014,0.0,0.0,0.0,0.0104,0.0,0.0564,2.1957,0.1537,0.0,0.0113
Il7r,0.114,0.0461,0.303,0.0528,0.0251,0.1579,0.1078,0.1502,0.9462,0.5502,2.559,0.2701,0.0138,0.1237
Nkg7,0.0004,0.0146,0.37,0.0057,0.0135,0.0118,0.0066,0.09,0.0326,0.6516,0.0207,2.0305,0.0,0.0973
Ncr1,0.0003,0.0051,0.0783,0.0,0.0,0.0056,0.0015,0.0412,0.0048,0.0679,0.0,1.3052,0.0,0.0262
Cd79a,0.0083,0.0035,0.0321,0.0086,0.0,0.0111,0.006,0.0076,0.0242,0.0281,0.0112,0.0044,3.057,0.0352
Ms4a1,0.0051,0.005,0.0238,0.0052,0.0,0.0,0.0059,0.0124,0.04,0.0154,0.0122,0.0,1.9773,0.0314
S100a8,0.0014,0.0307,0.1237,0.0034,0.0166,0.0,0.0047,0.2159,0.0584,0.5016,0.0121,0.0024,0.0412,2.3576
S100a9,0.0015,0.0246,0.1317,0.0024,0.0205,0.0026,0.0017,0.3823,0.0913,0.4612,0.0,0.0078,0.0538,2.3896
