pseudotime,Retina-Sham,Retina-MB,OpticNerve-Sham,OpticNerve-MB
0.0,0.28468,1.44747,0.20349,0.40457
0.00334,0.39429,1.8143,0.30759,0.52724
0.00669,0.51172,2.22446,0.43211,0.66158
0.01003,0.62711,2.67456,0.57038,0.8062
0.01338,0.73439,3.16269,0.71898,0.96685
0.01672,0.8381,3.68993,0.88607,1.1627
0.02007,0.96207,4.26109,1.10179,1.43318
0.02341,1.16042,4.88418,1.43039,1.84334
0.02676,1.53179,5.56819,1.98422,2.48483
0.0301,2.23473,6.31931,2.93662,3.4684
0.03344,3.4951,7.1361,4.52191,4.90476
0.03679,5.58533,8.00487,6.99969,6.87274
0.04013,8.75116,8.89652,10.56049,9.37968
0.04348,13.07714,9.76628,15.17532,12.32489
0.04682,18.3261,10.55709,20.44562,15.48206
0.05017,23.8406,11.20658,25.55928,18.5151
0.05351,28.61044,11.65639,29.44768,21.03259
0.05686,31.54781,11.86206,31.13747,22.67147
0.0602,31.88376,11.80102,30.14833,23.1856
0.06355,29.49238,11.47689,26.71646,22.5095
0.06689,24.95718,10.91902,21.70366,20.77398
0.07023,19.33494,10.17731,16.24006,18.26827
0.07358,13.74923,9.31391,11.30584,15.36333
0.07692,9.02886,8.39357,7.46389,12.4239
0.08027,5.54629,7.47495,4.8291,9.7375
0.08361,3.27046,6.60441,3.21115,7.47767
0.08696,1.93891,5.81309,2.30339,5.70383
0.0903,1.23248,5.11717,1.8202,4.38732
0.09365,0.8843,4.52038,1.55552,3.44834
0.09699,0.71572,4.0177,1.38488,2.79043
0.10033,0.626,3.59912,1.24452,2.32451
0.10368,0.56638,3.25275,1.10935,1.98102
0.10702,0.51653,2.96688,0.9765,1.7124
0.11037,0.46953,2.73101,0.85336,1.48987
0.11371,0.4241,2.53618,0.74877,1.29792
0.11706,0.38107,2.37481,0.66727,1.12899
0.1204,0.34184,2.24041,0.6069,0.97933
0.12375,0.30751,2.12734,0.56059,0.84662
0.12709,0.27837,2.03062,0.51949,0.72881
0.13043,0.25382,1.94595,0.47642,0.62395
0.13378,0.23271,1.86973,0.42791,0.53051
0.13712,0.21398,1.7991,0.37448,0.44767
0.14047,0.19711,1.73197,0.31938,0.37538
0.14381,0.18238,1.66707,0.26681,0.31417
0.14716,0.17065,1.6038,0.22032,0.26471
0.1505,0.16301,1.54224,0.18191,0.22733
0.15385,0.1603,1.48294,0.15204,0.20159
0.15719,0.16272,1.42677,0.13014,0.1862
0.16054,0.16958,1.37473,0.11528,0.17907
0.16388,0.17945,1.32776,0.10656,0.17764
0.16722,0.1905,1.28657,0.10324,0.17931
0.17057,0.20104,1.25146,0.10449,0.18177
0.17391,0.20994,1.22231,0.10899,0.18327
0.17726,0.21674,1.1985,0.1147,0.18271
0.1806,0.22138,1.179,0.1191,0.17956
0.18395,0.22385,1.16245,0.11989,0.17377
0.18729,0.22392,1.14731,0.11587,0.16561
0.19064,0.22116,1.13198,0.10744,0.15559
0.19398,0.21517,1.115,0.0964,0.14437
0.19732,0.20597,1.09515,0.08518,0.13273
0.20067,0.19409,1.07158,0.07588,0.12152
0.20401,0.18052,1.04386,0.06958,0.11161
0.20736,0.16637,1.01202,0.06614,0.10383
0.2107,0.15254,0.97647,0.06449,0.09892
0.21405,0.13959,0.93797,0.06334,0.0974
0.21739,0.12781,0.89747,0.0619,0.09949
0.22074,0.11741,0.85607,0.06009,0.105
0.22408,0.1086,0.81485,0.05832,0.11321
0.22742,0.10145,0.77489,0.057,0.12299
0.23077,0.09567,0.73721,0.05632,0.13291
0.23411,0.09058,0.70273,0.0564,0.14157
0.23746,0.08531,0.67229,0.05768,0.14795
0.2408,0.07927,0.6466,0.06125,0.15164
