,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120
Gm42418,-1.68,-1.335,-0.342,-0.008,0.902,1.523,0.733,0.75,1.353,1.256,1.063,1.225,0.816,1.103,0.977,1.011,0.988,0.835,0.573,0.943,1.048,0.799,0.602,0.992,0.955,1.113,0.473,1.008,0.629,0.733,1.101,0.803,0.875,0.594,0.773,0.816,0.921,0.621,0.626,0.726,0.668,0.7,0.557,0.818,0.857,0.255,0.309,0.421,0.636,0.448,0.269,0.172,0.392,0.116,0.38,0.178,0.123,-0.316,-0.047,-0.624,-0.383,0.057,-0.094,-0.193,-0.418,-0.226,-0.566,-0.602,-0.648,-0.735,-0.574,-0.674,-1.112,-1.056,-1.448,-1.113,-1.598,-1.245,-1.463,-1.116,-1.705,-1.788,-1.673,-1.562,-1.653,-1.473,-1.775,-1.657,-1.755,-1.606,-1.697,-1.634,-2.128,-2.037,-2.46,-1.836,-1.31,-0.949,-0.03,-0.028,-0.033,0.548,0.185,0.515,0.323,0.3,0.295,0.035,0.083,0.587,0.488,0.69,1.229,0.728,0.493,0.461,0.981,1.865,0.968,0.02
Hpgd,-1.57,-0.942,-2.058,-2.669,-2.223,-1.229,-0.688,-0.281,-0.21,-0.071,0.215,-0.115,0.748,0.512,0.413,0.658,0.357,0.726,0.494,0.523,0.618,0.663,0.445,0.498,0.613,0.641,0.537,0.636,0.575,0.489,0.512,0.56,0.782,0.488,0.581,0.691,0.476,0.827,0.532,0.705,0.361,0.664,0.434,0.565,0.679,0.749,0.662,0.81,0.313,0.738,0.637,0.785,0.744,1.029,0.464,0.726,0.609,0.723,0.637,0.616,0.517,0.528,0.647,0.631,0.592,0.405,0.572,0.457,0.712,0.557,0.45,0.486,0.714,0.452,0.639,0.69,0.562,0.481,0.548,0.492,0.496,0.545,0.67,0.692,0.586,0.609,0.449,0.469,0.396,0.633,0.529,0.496,0.733,0.306,0.157,0.337,0.107,-0.098,-0.5,-0.598,-1.409,-1.076,-1.502,-1.537,-1.758,-1.548,-0.979,-1.937,-1.433,-1.912,-2.168,-2.25,-1.932,-2.018,-1.552,-2.216,-2.214,-2.834,-2.392,-0.885
Ccr5,-2.122,-1.816,-0.875,-1.414,-1.299,-1.609,-1.094,-0.965,-0.85,-0.322,-0.257,0.343,0.443,0.225,0.021,0.472,0.639,0.561,0.379,0.724,0.651,0.616,0.716,0.465,0.673,0.797,0.569,0.582,0.749,0.7,0.556,0.847,0.648,0.737,0.577,0.649,0.733,0.333,0.624,0.894,0.711,0.565,0.474,0.709,1.072,0.869,0.54,0.638,0.746,0.762,0.879,0.428,0.717,0.6,0.834,0.776,0.592,0.704,0.474,0.559,0.533,0.488,0.782,0.444,0.738,0.688,0.717,0.609,0.458,0.675,0.871,0.354,0.497,0.294,0.404,0.738,0.01,0.327,0.372,0.276,0.239,0.604,0.453,0.693,0.565,0.668,0.595,0.528,0.521,0.284,0.504,0.666,0.548,0.191,0.08,0.042,-0.05,-0.336,-0.279,-0.493,-0.885,-0.887,-0.659,-1.109,-0.953,-0.956,-1.02,-1.499,-0.861,-1.253,-2.194,-1.608,-2.06,-2.918,-2.549,-2.906,-2.246,-3.035,-2.581,-2.071
Csmd3,-0.58,-0.328,-0.935,-1.483,-1.231,-1.119,-0.708,-0.562,-0.549,0.019,-0.034,0.238,0.423,0.433,0.09,0.666,0.799,0.624,0.54,0.628,0.778,0.718,0.593,0.626,0.555,0.619,0.553,0.483,-0.085,0.537,0.493,0.607,0.452,0.468,0.399,0.318,0.511,0.438,0.208,0.701,0.336,0.478,0.66,0.531,0.354,0.431,0.28,0.623,0.54,0.563,0.246,0.132,0.389,0.3,0.437,0.081,0.567,0.458,0.52,0.299,0.541,0.513,0.392,0.369,0.642,0.338,0.483,0.227,0.309,0.318,0.425,0.541,0.461,0.173,0.519,0.47,0.246,0.341,0.627,0.615,0.353,0.504,0.357,0.541,0.693,0.646,0.492,0.577,0.769,0.463,0.385,0.434,0.563,0.354,0.643,0.336,0.455,0.154,0.237,-0.029,-0.289,-0.907,-0.556,-0.827,-1.006,-0.742,-0.468,-0.35,-0.428,-0.888,-1.047,-0.719,-1.495,-3.053,-2.116,-3.334,-3.851,-5.163,-3.772,-1.596
4933406I18Rik,-1.273,-1.312,-1.177,-1.5,-1.492,-1.968,-1.181,-0.653,-0.604,0.04,-0.24,0.141,0.212,-0.0,0.02,0.131,0.198,0.144,0.478,0.475,0.282,0.295,0.246,0.345,0.291,0.549,0.265,0.577,0.537,0.633,0.25,0.311,0.41,0.153,0.652,0.595,0.337,0.594,0.552,0.507,0.574,0.797,0.51,0.65,0.489,0.799,0.426,0.528,0.732,0.587,0.255,0.48,0.46,0.613,0.758,0.58,0.624,0.711,0.669,0.542,0.655,0.737,0.615,0.702,0.375,0.747,0.801,0.532,0.469,0.536,0.483,0.674,0.56,0.524,0.476,0.238,0.578,0.498,0.523,0.462,0.578,0.73,0.653,0.709,0.427,0.565,0.395,0.306,0.605,0.496,0.534,0.675,0.284,0.231,0.44,0.596,0.447,0.378,0.181,-0.271,-0.839,-0.704,-0.457,-0.825,-0.466,-0.773,-0.692,-0.741,-0.729,-1.365,-1.511,-1.745,-1.371,-1.743,-1.285,-2.632,-2.949,-5.575,-4.017,-0.329
Nav3,-0.238,-0.186,-0.709,-0.224,-0.353,-0.639,-0.171,0.087,-0.086,-0.111,-0.105,-0.113,0.167,0.094,-0.084,0.237,0.211,0.009,0.086,0.504,0.2,0.152,-0.033,0.291,0.321,0.081,-0.01,-0.149,0.256,0.228,0.245,0.66,0.409,0.186,0.226,0.261,0.243,0.236,0.461,0.169,0.499,0.301,0.43,0.656,0.198,0.335,0.491,0.464,0.637,0.345,0.304,0.459,0.661,0.377,0.544,0.339,0.513,0.468,0.359,0.361,0.431,0.445,0.404,0.505,0.28,0.545,0.614,0.567,0.658,0.406,0.624,0.404,0.454,0.526,0.502,0.41,0.422,0.41,0.485,0.631,0.496,0.536,0.447,0.407,0.42,0.305,0.518,0.354,0.577,0.38,0.224,0.361,0.393,0.443,0.316,-0.028,0.359,0.167,-0.183,-0.487,-0.108,-0.472,-0.164,0.21,0.281,0.197,0.28,-0.191,-0.439,-0.423,-0.375,-0.705,-1.027,-1.992,-2.057,-3.098,-4.134,-6.732,-4.111,-2.221
Jun,-0.415,-0.395,-1.627,-1.313,-1.611,-1.254,-0.957,-0.525,-0.83,-0.468,-0.571,-0.367,-0.006,-0.355,-0.217,-0.434,-0.003,-0.005,0.296,0.185,0.116,0.424,0.107,0.256,0.104,0.158,0.304,0.306,0.308,0.39,0.442,0.404,0.346,0.184,0.311,0.522,0.458,0.558,0.53,0.302,0.589,0.45,0.417,0.438,0.375,0.751,0.524,0.418,0.554,0.603,0.559,0.867,0.722,0.747,0.538,0.752,0.696,0.75,0.767,0.698,0.678,0.85,0.657,0.759,0.635,0.661,0.738,0.834,0.591,0.789,0.765,0.694,0.832,0.871,1.025,0.771,0.819,0.636,0.87,0.902,0.871,0.923,0.812,0.797,0.805,0.843,0.757,0.771,0.97,0.82,0.701,0.831,0.881,0.786,0.483,0.607,0.446,0.413,-0.75,-0.958,-1.073,-1.168,-1.598,-1.799,-1.241,-1.809,-1.545,-1.781,-1.544,-1.842,-1.149,-2.458,-1.577,-1.396,-1.024,-2.086,-2.452,-4.407,-2.468,-0.64
Tyrobp,-3.476,-2.298,-1.384,-1.706,-1.265,-1.247,-0.78,-1.173,-0.632,-0.403,0.013,-0.554,-0.091,-0.169,0.403,0.565,0.07,0.397,0.559,0.258,0.608,0.383,0.622,0.504,0.492,0.509,0.552,0.561,0.742,0.441,0.492,0.46,0.451,0.462,0.626,0.699,0.446,0.597,0.42,0.709,0.579,0.456,0.57,0.44,0.479,0.647,0.54,0.421,0.513,0.588,0.38,0.353,0.371,0.467,0.41,0.515,0.52,0.456,0.487,0.505,0.317,0.556,0.365,0.468,0.567,0.477,0.538,0.439,0.462,0.506,0.462,0.44,0.555,0.599,0.6,0.473,0.624,0.583,0.559,0.37,0.617,0.642,0.484,0.43,0.44,0.598,0.315,0.483,0.578,0.611,0.486,0.547,0.615,0.58,0.176,0.592,0.299,0.222,-0.289,-0.938,-1.294,-1.186,-1.625,-3.349,-2.56,-2.816,-2.524,-2.816,-2.542,-1.707,-1.723,-2.306,-0.873,-0.693,0.023,0.211,0.642,1.439,1.317,-0.627
Agmo,-0.71,-0.443,-1.039,-1.908,-1.993,-1.561,-0.858,-0.68,-0.887,-0.291,-0.57,-0.475,-0.072,-0.069,0.102,0.048,0.542,0.054,0.169,0.131,0.063,0.24,0.02,0.356,0.124,0.308,0.389,0.165,0.612,0.605,0.374,0.39,0.233,0.349,-0.054,0.374,0.252,0.716,0.593,0.715,0.497,0.475,0.573,0.303,0.654,0.797,0.636,0.478,0.636,0.563,0.615,0.258,0.646,0.317,0.681,0.532,0.715,0.616,0.438,0.705,0.646,0.546,0.638,0.524,0.489,0.717,0.567,0.659,0.442,0.355,0.667,0.613,0.806,0.705,0.637,0.533,0.666,0.556,0.888,0.621,0.752,0.858,1.091,0.804,0.579,0.65,0.706,0.633,0.533,0.748,0.689,0.576,0.748,0.69,0.751,0.185,0.408,0.048,-0.07,-0.309,-0.513,-0.759,-0.683,-0.35,-0.548,-0.056,-0.36,-0.518,-0.666,-0.811,-1.245,-1.365,-1.919,-2.265,-2.459,-2.678,-3.668,-4.719,-3.37,-1.845
Arsb,-2.064,-1.608,-2.551,-2.517,-1.856,-1.739,-0.385,-0.417,-0.488,-0.82,-0.036,0.014,0.05,0.104,0.192,0.134,0.303,0.513,0.339,0.409,0.586,0.448,0.04,0.653,0.326,0.489,0.657,0.663,0.359,0.39,0.591,0.316,0.673,0.686,0.667,0.524,0.411,0.548,0.488,0.711,0.367,0.758,0.637,0.66,0.476,0.687,0.523,0.834,0.591,0.632,0.674,0.613,0.019,0.594,0.775,0.628,0.793,0.708,0.679,0.698,0.559,0.161,0.43,0.486,0.639,0.506,0.351,0.295,0.664,0.791,0.637,0.694,0.675,0.274,0.686,0.516,0.639,0.582,0.686,0.553,0.775,0.641,0.423,0.641,0.709,0.748,0.578,0.597,0.567,0.582,0.415,0.35,0.484,0.338,0.247,0.311,0.473,0.395,-0.222,-0.478,-0.591,-0.248,-0.438,0.038,-1.036,-0.746,-0.904,-0.515,-1.49,-1.709,-1.824,-1.74,-2.806,-3.559,-1.717,-2.19,-1.84,-3.563,-2.623,-0.05
